total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
20, 981, 253, 11652

STL type, instantiations
std::numeric_limits, 1
std::deque, 5
std::vector, 310
std::atomic, 19
std::list, 144
std::less, 13
std::queue, 4
std::stack, 11
std::binary_function, 11
std::unary_function, 10
std::multimap, 3
std::bitset, 2
std::complex, 28
std::array, 1
std::map, 212
std::priority_queue, 1
std::pair, 35
std::auto_ptr, 16
std::reverse_iterator, 2
std::set, 153

STL function, function calls
std::list::sort, 2
std::mem_fun, 4
std::not1, 2
std::set::insert, 1
std::bind2nd, 5
std::remove, 1
std::pair::pair, 11
std::operator>>, 52
std::pow, 8
std::swap, 43
std::operator<, 614
std::operator<<, 1706
std::copy, 2
std::sqrt, 2
std::operator==, 1237
std::ptr_fun, 1
std::make_pair, 32
std::operator>=, 157
std::reverse, 2
std::find_if, 20
std::operator!=, 1121
std::remove_copy_if, 2
std::make_heap, 1
std::sort, 23
std::find, 12
std::pop_heap, 2
std::map::insert, 33
std::distance, 2
std::operator+, 4495
std::operator>, 652
std::multimap::insert, 5
std::setfill, 8
std::operator-, 808
std::min, 251
std::push_heap, 1
std::getline, 2
std::for_each, 11
std::max, 239
std::stable_sort, 3
std::operator<=, 72
std::lower_bound, 1
std::vector::insert, 1
std::advance, 1
std::back_inserter, 4

