total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
6, 471, 23, 408

STL type, instantiations
std::vector, 297
std::map, 45
std::multimap, 40
std::pair, 35
std::list, 39
std::set, 15

STL function, function calls
std::search, 1
std::operator<, 2
std::map::insert, 3
std::operator==, 44
std::make_pair, 1
std::replace, 1
std::operator+, 300
std::multimap::insert, 11
std::pair::pair, 20
std::operator!=, 10
std::vector::insert, 14
std::reverse, 1

