total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
7, 876, 33, 1102

STL type, instantiations
std::vector, 622
std::less, 3
std::priority_queue, 1
std::map, 118
std::unique_ptr, 14
std::list, 87
std::set, 31

STL function, function calls
std::map::map, 1
std::chrono::duration::duration, 1
std::equal, 1
std::sort, 2
std::count_if, 2
std::find, 23
std::vector::assign, 5
std::map::insert, 3
std::mem_fn, 1
std::operator+, 62
std::thread::thread, 1
std::this_thread::sleep_for, 1
std::operator<<, 754
std::transform, 14
std::min, 41
std::operator==, 132
std::make_pair, 3
std::getline, 2
std::for_each, 1
std::max, 44
std::find_if, 1
std::operator!=, 7

