total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
4, 496, 106, 5422

STL type, instantiations
std::numeric_limits, 1
std::vector, 406
std::map, 63
std::ctype, 26

STL function, function calls
std::mismatch, 2
std::sort, 19
std::find, 1
std::abs, 15
std::map::insert, 54
std::unique, 17
std::distance, 1
std::operator+, 35
std::remove, 1
std::pair::pair, 54
std::operator>>, 200
std::pow, 61
std::basic_string::append, 4
std::operator<<, 4434
std::operator<, 14
std::copy, 1
std::sqrt, 6
std::has_facet, 13
std::use_facet, 13
std::min, 71
std::transform, 2
std::operator==, 164
std::getline, 125
std::max, 108
std::max_element, 2
std::reverse, 1
std::operator!=, 2
std::vector::insert, 2

