total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
37, 176, 227, 1288

STL type, instantiations
std::deque, 5
std::is_volatile, 3
std::add_rvalue_reference, 1
std::atomic, 1
std::tuple_element, 1
std::is_convertible, 1
std::collate, 4
std::conditional, 7
std::decay, 2
std::enable_if, 12
std::binary_function, 6
std::unary_function, 1
std::remove_reference, 11
std::is_rvalue_reference, 1
std::basic_string, 48
std::is_constructible, 1
std::codecvt, 1
std::is_same, 4
std::remove_pointer, 1
std::pair, 4
std::vector, 22
std::is_reference, 2
std::function, 1
std::ctype, 4
std::is_nothrow_constructible, 4
std::unordered_map, 1
std::unique_lock, 1
std::is_floating_point, 2
std::lock_guard, 1
std::is_integral, 2
std::tuple, 1
std::_Mem_fn, 5
std::is_lvalue_reference, 3
std::common_type, 1
std::is_const, 2
std::chrono::duration, 1
std::remove_cv, 8

STL function, function calls
std::isspace, 1
std::declval, 2
std::forward, 78
std::tolower, 1
std::toupper, 1
std::bind2nd, 2
std::operator+, 17
std::operator>, 96
std::pow, 1
std::swap, 17
std::operator<, 168
std::operator<<, 29
std::operator-, 6
std::condition_variable::wait_for, 2
std::use_facet, 9
std::transform, 4
std::min, 4
std::operator==, 429
std::getline, 3
std::make_pair, 1
std::vector::emplace_back, 1
std::max, 6
std::move, 73
std::reverse, 1
std::find_if, 2
std::operator!=, 334

