total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
27, 35118, 266, 113086

STL type, instantiations
std::numeric_limits, 637
std::deque, 325
std::vector, 25411
std::iterator, 7
std::istream_iterator, 2
std::basic_ostream, 2
std::atomic, 2
std::fpos, 1
std::list, 835
std::unordered_map, 1
std::less, 4
std::multiset, 48
std::queue, 238
std::stack, 35
std::tuple, 1
std::unary_function, 12
std::multimap, 69
std::basic_string, 27
std::bitset, 33
std::allocator, 5
std::ostream_iterator, 1
std::iterator_traits, 2
std::map, 3517
std::priority_queue, 9
std::reverse_iterator, 5
std::char_traits, 1
std::set, 3888

STL function, function calls
std::list::sort, 29
std::get, 6
std::mem_fun, 13
std::set::insert, 77
std::vector::assign, 176
std::rotate, 16
std::multiset::multiset, 3
std::partition, 5
std::set::set, 45
std::basic_string::insert, 18
std::pow, 6
std::search, 12
std::find_first_of, 4
std::sqrt, 1
std::set_symmetric_difference, 2
std::ptr_fun, 6
std::find_end, 4
std::fill, 38
std::find_if, 168
std::set_difference, 10
std::__detail::operator!=, 1
std::next, 1
std::sort, 307
std::list::remove_if, 2
std::count_if, 22
std::abs, 2
std::binary_search, 11
std::pop_heap, 7
std::unique, 15
std::distance, 15
std::merge, 1
std::adjacent_find, 5
std::deque::insert, 13
std::copy_n, 1
std::vector::vector, 414
std::min_element, 2
std::basic_string::append, 53
std::nth_element, 1
std::set_intersection, 4
std::operator-, 26
std::list::list, 1
std::basic_string::assign, 28
std::getline, 14
std::for_each, 34
std::stable_sort, 14
std::count, 18
std::equal_range, 1
std::deque::assign, 3
std::back_inserter, 53
std::map::map, 15
std::includes, 4
std::equal, 49
std::not1, 5
std::basic_string::basic_string, 74
std::bind2nd, 24
std::inserter, 18
std::set_union, 2
std::list::insert, 8
std::replace, 71
std::remove, 24
std::remove_if, 23
std::stable_partition, 1
std::pair::pair, 263
std::deque::deque, 4
std::swap, 206
std::operator<<, 90785
std::operator<, 161
std::lexicographical_compare, 1
std::copy, 135
std::transform, 37
std::operator==, 5853
std::make_pair, 1480
std::operator>=, 23
std::fill_n, 11
std::max_element, 11
std::operator!=, 1553
std::reverse, 21
std::mismatch, 4
std::generate, 3
std::accumulate, 5
std::make_heap, 7
std::end, 1
std::find, 578
std::mem_fun_ref, 2
std::map::insert, 607
std::next_permutation, 6
std::bitset::bitset, 2
std::operator+, 6201
std::operator>, 12
std::upper_bound, 21
std::multimap::insert, 61
std::setfill, 6
std::operator&, 5
std::replace_if, 3
std::inplace_merge, 2
std::random_shuffle, 5
std::partial_sort, 9
std::bind1st, 9
std::bitset::to_string, 1
std::make_tuple, 1
std::min, 1370
std::push_heap, 9
std::max, 1234
std::operator<=, 2
std::lower_bound, 44
std::vector::insert, 298
std::advance, 8

