total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
30, 3373, 311, 11801

STL type, instantiations
std::numeric_limits, 61
std::deque, 27
std::vector, 2529
std::iterator, 9
std::function, 1
std::basic_ostream, 2
std::tr1::hash, 3
std::list, 273
std::tuple_size, 2
std::unique_lock, 1
std::tr1::unordered_map, 1
std::multiset, 1
std::queue, 3
std::tuple_element, 2
std::tr1::tuple_size, 15
std::stack, 4
std::binary_function, 2
std::tuple, 47
std::unary_function, 3
std::tr1::unordered_set, 1
std::tr1::gtest_internal::TupleElement, 12
std::tr1::gtest_internal::Get, 13
std::allocator, 3
std::iterator_traits, 21
std::priority_queue, 2
std::tr1::gtest_internal::SameSizeTuplePrefixComparator, 5
std::pair, 173
std::unique_ptr, 1
std::auto_ptr, 7
std::set, 149

STL function, function calls
std::tr1::__detail::operator!=, 118
std::sin, 1
std::set::insert, 3
std::partition, 1
std::pow, 1
std::sqrt, 7
std::tr1::_Hashtable::insert, 1
std::ptr_fun, 2
std::fill, 5
std::find_if, 6
std::set_difference, 2
std::hypot, 3
std::sort, 73
std::abs, 2
std::pop_heap, 14
std::distance, 22
std::vector::vector, 4
std::min_element, 13
std::cos, 1
std::nth_element, 2
std::set_intersection, 6
std::operator-, 460
std::getline, 1
std::for_each, 4
std::back_inserter, 41
std::fabs, 46
std::not1, 2
std::bind2nd, 3
std::inserter, 1
std::list::insert, 2
std::remove, 9
std::remove_if, 2
std::stable_partition, 1
std::pair::pair, 21
std::tr1::__detail::operator==, 28
std::__is_heap, 5
std::operator>>, 3
std::swap, 417
std::operator<<, 3214
std::operator<, 664
std::copy, 68
std::lexicographical_compare, 1
std::transform, 2
std::operator==, 1434
std::make_pair, 133
std::operator>=, 56
std::max_element, 6
std::operator!=, 2070
std::reverse, 4
std::reverse_copy, 1
std::accumulate, 1
std::make_heap, 10
std::find, 35
std::map::insert, 14
std::endl, 1
std::operator>, 244
std::operator+, 2034
std::setfill, 3
std::bind, 27
std::bind1st, 1
std::min, 193
std::push_heap, 8
std::max, 221
std::operator<=, 9
std::vector::insert, 14

