total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
10, 911, 249, 8165

STL type, instantiations
std::numeric_limits, 5
std::deque, 5
std::vector, 509
std::multimap, 17
std::list, 44
std::queue, 2
std::map, 146
std::auto_ptr, 2
std::set, 177
std::stack, 4

STL function, function calls
std::set::insert, 14
std::inserter, 1
std::list::insert, 2
std::pair::pair, 3
std::set::set, 2
std::operator>>, 2
std::operator<<, 4805
std::operator<, 24
std::copy, 1
std::transform, 1
std::operator==, 664
std::make_pair, 288
std::operator>=, 22
std::operator!=, 132
std::sort, 2
std::find, 6
std::map::insert, 3
std::merge, 1
std::operator+, 1824
std::operator>, 22
std::multimap::insert, 6
std::vector::vector, 2
std::setfill, 4
std::replace_if, 1
std::set_intersection, 1
std::min, 7
std::getline, 10
std::max, 20
std::operator<=, 22
std::count, 3
std::vector::insert, 7
std::pair::operator=, 263

