total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
21, 6244, 103, 4373

STL type, instantiations
std::numeric_limits, 2
std::deque, 6
std::vector, 4485
std::iterator, 4
std::list, 347
std::ctype, 4
std::queue, 9
std::stack, 9
std::binary_function, 26
std::unary_function, 3
std::back_insert_iterator, 11
std::basic_string, 1
std::bitset, 4
std::ostream_iterator, 1
std::iterator_traits, 1
std::map, 594
std::priority_queue, 1
std::pair, 228
std::reverse_iterator, 1
std::auto_ptr, 50
std::set, 457

STL function, function calls
std::list::sort, 1
std::equal, 3
std::set::insert, 21
std::bind2nd, 19
std::list::insert, 1
std::set_union, 1
std::replace, 4
std::set::set, 4
std::pair::pair, 19
std::basic_string::insert, 2
std::operator>>, 11
std::pow, 5
std::swap, 111
std::operator<, 3
std::operator<<, 2687
std::copy, 9
std::use_facet, 2
std::operator==, 332
std::make_pair, 77
std::operator>=, 1
std::max_element, 6
std::fill, 2
std::operator!=, 73
std::find_if, 23
std::set_difference, 6
std::generate, 2
std::sort, 69
std::find, 37
std::fmod, 1
std::count_if, 10
std::abs, 2
std::mem_fun_ref, 3
std::unique, 26
std::map::insert, 31
std::adjacent_find, 8
std::operator+, 217
std::operator>, 2
std::vector::vector, 4
std::setfill, 18
std::operator&, 1
std::min_element, 4
std::set_intersection, 2
std::operator-, 3
std::list::list, 1
std::min, 174
std::getline, 46
std::max, 223
std::vector::insert, 66

