total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
10, 107, 35, 5091

STL type, instantiations
std::binary_function, 17
std::deque, 1
std::vector, 62
std::unary_function, 2
std::list, 12
std::tr1::unordered_map, 1
std::priority_queue, 1
std::queue, 1
std::greater, 1
std::set, 9

STL function, function calls
std::basic_string::basic_string, 1
std::sort, 13
std::return_temporary_buffer, 4
std::map::insert, 4
std::distance, 2
std::upper_bound, 1
std::operator+, 31
std::get_temporary_buffer, 2
std::pair::pair, 4
std::vector::vector, 2
std::swap, 1
std::operator<<, 4836
std::random_shuffle, 14
std::min, 98
std::operator==, 11
std::getline, 1
std::make_pair, 6
std::for_each, 4
std::stable_sort, 1
std::max, 45
std::lower_bound, 2
std::find_if, 1
std::operator!=, 5
std::vector::insert, 2

