total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
9, 158, 29, 514

STL type, instantiations
std::vector, 92
std::map, 43
std::queue, 3
std::multiset, 3
std::less, 1
std::pair, 12
std::equal_to, 2
std::set, 1
std::stack, 1

STL function, function calls
std::swap, 2
std::operator<, 2
std::operator<<, 223
std::basic_string::basic_string, 1
std::sort, 9
std::find, 12
std::map::insert, 4
std::operator==, 117
std::make_pair, 1
std::replace, 2
std::operator+, 86
std::pair::pair, 31
std::max, 5
std::find_if, 10
std::operator!=, 9

