total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
12, 263, 69, 448

STL type, instantiations
std::numeric_limits, 1
std::deque, 8
std::vector, 172
std::basic_ostream, 2
std::list, 24
std::complex, 8
std::queue, 1
std::map, 13
std::multiset, 2
std::pair, 28
std::auto_ptr, 1
std::set, 3

STL function, function calls
std::mem_fun, 2
std::basic_string::basic_string, 1
std::bind2nd, 3
std::vector::assign, 1
std::remove_if, 2
std::remove, 1
std::pair::pair, 3
std::operator/, 2
std::pow, 3
std::swap, 38
std::operator<<, 81
std::copy, 5
std::sqrt, 1
std::operator==, 12
std::make_pair, 5
std::ptr_fun, 5
std::fill_n, 4
std::fill, 2
std::find_if, 1
std::operator!=, 13
std::reverse, 1
std::set_difference, 1
std::make_heap, 1
std::sort, 18
std::find, 10
std::map::insert, 1
std::pop_heap, 1
std::unique, 2
std::mem_fun_ref, 1
std::distance, 1
std::upper_bound, 2
std::operator+, 29
std::vector::vector, 2
std::operator-, 5
std::operator*, 10
std::min, 76
std::push_heap, 1
std::getline, 1
std::for_each, 5
std::exp, 2
std::max, 82
std::stable_sort, 2
std::lower_bound, 5
std::vector::insert, 4

