total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
13, 1071, 86, 2628

STL type, instantiations
std::binary_function, 1
std::numeric_limits, 20
std::vector, 405
std::unary_function, 13
std::bitset, 2
std::basic_string, 54
std::basic_stringstream, 6
std::map, 314
std::queue, 3
std::reverse_iterator, 4
std::set, 245
std::basic_ostringstream, 2
std::stack, 2

STL function, function calls
std::list::sort, 32
std::equal, 2
std::set::insert, 3
std::inserter, 1
std::list::insert, 1
std::set::set, 1
std::pair::pair, 27
std::operator>>, 81
std::swap, 97
std::operator<<, 916
std::lexicographical_compare, 2
std::copy, 6
std::transform, 13
std::operator==, 300
std::make_pair, 37
std::find_if, 1
std::fill, 1
std::reverse, 6
std::operator!=, 98
std::__detail::operator!=, 329
std::__detail::operator==, 105
std::sort, 15
std::count_if, 3
std::find, 5
std::list::remove_if, 70
std::map::insert, 31
std::distance, 4
std::operator+, 155
std::multimap::insert, 44
std::unordered_map::insert, 18
std::setfill, 2
std::list::assign, 2
std::basic_string::append, 1
std::set_intersection, 1
std::random_shuffle, 1
std::min, 86
std::getline, 2
std::max, 99
std::lower_bound, 1
std::count, 8
std::advance, 21

