total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
14, 1257, 59, 1057

STL type, instantiations
std::numeric_limits, 39
std::deque, 13
std::vector, 735
std::multimap, 31
std::list, 45
std::ctype, 4
std::basic_string, 8
std::allocator, 10
std::map, 196
std::pair, 80
std::auto_ptr, 1
std::char_traits, 2
std::basic_istream, 8
std::set, 85

STL function, function calls
std::mismatch, 1
std::sort, 3
std::vector::assign, 3
std::map::insert, 6
std::operator>, 2
std::operator+, 556
std::deque::insert, 1
std::multimap::insert, 12
std::vector::vector, 40
std::setfill, 2
std::basic_string::append, 1
std::swap, 14
std::operator<, 2
std::operator<<, 85
std::random_shuffle, 1
std::use_facet, 1
std::min, 29
std::operator==, 129
std::basic_string::assign, 1
std::make_pair, 63
std::getline, 12
std::max, 27
std::count, 1
std::reverse_copy, 1
std::reverse, 3
std::vector::insert, 21
std::operator!=, 36
std::advance, 4

