total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
38, 5654, 172, 7049

STL type, instantiations
std::numeric_limits, 42
std::valarray, 1
std::deque, 88
std::basic_ostream, 40
std::list, 356
std::uniform_int_distribution, 2
std::unordered_multimap, 1
std::enable_shared_from_this, 2
std::less, 4
std::queue, 15
std::default_delete, 3
std::enable_if, 2
std::underlying_type, 54
std::shared_ptr, 318
std::binary_function, 58
std::unary_function, 129
std::is_unsigned, 1
std::multimap, 11
std::basic_string, 1
std::remove_const, 2
std::map, 141
std::add_const, 1
std::vector, 3385
std::iterator, 2
std::function, 15
std::is_signed, 1
std::unordered_map, 69
std::multiset, 9
std::unordered_set, 13
std::stack, 39
std::mem_fun_t, 5
std::back_insert_iterator, 3
std::uniform_real_distribution, 2
std::allocator, 7
std::priority_queue, 1
std::unique_ptr, 457
std::equal_to, 4
std::set, 370

STL function, function calls
std::uniform_int_distribution::operator(), 2
std::mem_fun, 3
std::equal, 5
std::bind2nd, 2
std::inserter, 2
std::vector::assign, 1
std::isfinite, 2
std::rotate, 2
std::list::insert, 3
std::remove, 3
std::pair::pair, 14
std::chrono::operator/, 1
std::operator>>, 83
std::any_of, 1
std::swap, 98
std::operator<, 1
std::operator<<, 5585
std::uniform_real_distribution::operator(), 2
std::lexicographical_compare, 1
std::copy, 36
std::transform, 11
std::none_of, 5
std::operator==, 303
std::make_pair, 25
std::fill_n, 4
std::move, 3
std::fill, 1
std::operator!=, 44
std::find_if, 10
std::shared_ptr::shared_ptr, 46
std::__shared_ptr::reset, 41
std::forward, 15
std::__detail::operator!=, 37
std::accumulate, 5
std::__detail::operator==, 18
std::sort, 37
std::find, 52
std::binary_search, 1
std::mem_fun_ref, 1
std::unique, 5
std::map::insert, 25
std::distance, 3
std::upper_bound, 3
std::operator+, 77
std::multimap::insert, 6
std::unordered_map::insert, 8
std::vector::vector, 14
std::setfill, 6
std::make_shared, 34
std::chrono::operator-, 1
std::is_sorted, 1
std::min, 123
std::getline, 9
std::for_each, 29
std::stable_sort, 5
std::max, 154
std::lower_bound, 10
std::equal_range, 6
std::vector::insert, 11
std::back_inserter, 5
std::advance, 8

