total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
12, 201, 19, 249

STL type, instantiations
std::numeric_limits, 32
std::deque, 1
std::vector, 144
std::function, 5
std::list, 3
std::unordered_map, 1
std::map, 4
std::pair, 7
std::unique_ptr, 1
std::greater, 1
std::set, 1
std::shared_ptr, 1

STL function, function calls
std::swap, 1
std::make_shared, 1
std::operator<<, 131
std::sort, 1
std::atan2, 1
std::sqrt, 1
std::min, 26
std::operator==, 24
std::make_pair, 1
std::vector::emplace_back, 22
std::operator+, 8
std::max, 23
std::reverse, 1
std::operator!=, 3
std::list::emplace_back, 5

