total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
6, 115, 26, 337

STL type, instantiations
std::unordered_map, 3
std::vector, 99
std::map, 1
std::unordered_set, 1
std::unique_ptr, 6
std::set, 5

STL function, function calls
std::__detail::operator!=, 1
std::operator<, 1
std::equal, 1
std::__detail::operator==, 3
std::operator<<, 203
std::sort, 2
std::find, 3
std::transform, 2
std::generate_n, 1
std::operator==, 9
std::make_pair, 1
std::operator+, 101
std::remove_if, 2
std::move, 6
std::operator!=, 1

