total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
9, 795, 41, 1245

STL type, instantiations
std::binary_function, 1
std::deque, 1
std::vector, 655
std::list, 3
std::istreambuf_iterator, 3
std::map, 67
std::pair, 42
std::set, 11
std::stack, 12

STL function, function calls
std::sort, 1
std::map::insert, 2
std::remove, 1
std::operator>, 3
std::operator+, 13
std::vector::vector, 2
std::basic_string::insert, 1
std::operator<<, 1136
std::operator<, 4
std::copy, 1
std::min, 1
std::operator==, 46
std::getline, 10
std::make_pair, 6
std::stable_sort, 1
std::operator>=, 3
std::operator<=, 3
std::operator!=, 11

