total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
20, 433, 66, 2646

STL type, instantiations
std::numeric_limits, 3
std::deque, 5
std::vector, 273
std::basic_ostream, 14
std::list, 1
std::basic_stringstream, 2
std::less, 6
std::basic_stringbuf, 2
std::basic_istringstream, 2
std::stack, 4
std::binary_function, 2
std::multimap, 2
std::basic_string, 13
std::bitset, 12
std::allocator, 7
std::map, 37
std::basic_istream, 8
std::basic_ostringstream, 2
std::set, 4
std::char_traits, 34

STL function, function calls
std::equal, 1
std::basic_string::basic_string, 1
std::bind2nd, 2
std::replace, 1
std::operator>>, 20
std::operator<, 1
std::operator<<, 592
std::copy, 14
std::transform, 1
std::operator==, 129
std::make_pair, 671
std::operator>=, 2
std::find_if, 13
std::operator!=, 63
std::reverse, 1
std::generate, 1
std::sort, 23
std::find, 23
std::count_if, 1
std::map::insert, 688
std::mem_fun_ref, 2
std::distance, 2
std::multimap::multimap, 1
std::operator>, 1
std::operator+, 339
std::multimap::insert, 3
std::vector::vector, 2
std::setfill, 11
std::basic_string::append, 1
std::random_shuffle, 2
std::bind1st, 1
std::min, 4
std::getline, 2
std::for_each, 13
std::max, 2
std::operator<=, 2
std::count, 1
std::vector::insert, 7
std::back_inserter, 2

