total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
12, 1790, 74, 2877

STL type, instantiations
std::binary_function, 1
std::numeric_limits, 15
std::deque, 7
std::vector, 372
std::unary_function, 10
std::multimap, 36
std::list, 911
std::bitset, 1
std::map, 236
std::queue, 2
std::reverse_iterator, 4
std::set, 195

STL function, function calls
std::list::sort, 29
std::equal, 2
std::sort, 15
std::set::insert, 3
std::find, 3
std::list::remove_if, 23
std::map::insert, 20
std::distance, 1
std::operator+, 563
std::pair::pair, 23
std::multimap::insert, 42
std::setfill, 2
std::list::assign, 1
std::operator>>, 70
std::swap, 91
std::operator<<, 819
std::lexicographical_compare, 2
std::copy, 6
std::min, 64
std::transform, 14
std::operator==, 403
std::getline, 1
std::make_pair, 254
std::max, 63
std::lower_bound, 1
std::fill, 1
std::find_if, 2
std::reverse, 2
std::operator!=, 70
std::advance, 36
std::pair::operator=, 251

