total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
19, 12840, 361, 54653

STL type, instantiations
std::numeric_limits, 3
std::vector, 2425
std::deque, 84
std::tr1::hash, 26
std::list, 2550
std::tr1::unordered_map, 227
std::queue, 2
std::multiset, 9
std::tr1::unordered_multimap, 2
std::tr1::unordered_set, 11
std::tr1::weak_ptr, 4
std::basic_string, 1
std::map, 4475
std::pair, 825
std::basic_streambuf, 1
std::auto_ptr, 31
std::char_traits, 2
std::set, 2160
std::basic_ostringstream, 2

STL function, function calls
std::map::map, 1
std::tr1::__detail::operator!=, 120
std::tr1::weak_ptr::operator=, 2
std::includes, 6
std::basic_string::basic_string, 11
std::set::insert, 21
std::inserter, 10
std::vector::assign, 3
std::replace, 2
std::list::insert, 6
std::tr1::operator<<, 21
std::remove, 1
std::tr1::operator==, 9
std::set::set, 31
std::pair::pair, 148
std::tr1::__detail::operator==, 28
std::pow, 1
std::operator>>, 31
std::swap, 13
std::operator<<, 37031
std::operator<, 622
std::copy, 5
std::sqrt, 2
std::log10, 1
std::transform, 2
std::prev_permutation, 2
std::operator==, 4904
std::make_pair, 329
std::fill_n, 2
std::operator>=, 264
std::reverse, 39
std::find_if, 1
std::operator!=, 6902
std::set_difference, 3
std::tr1::shared_ptr::shared_ptr, 113
std::accumulate, 1
std::sort, 2
std::tr1::operator!=, 6
std::find, 16
std::tr1::static_pointer_cast, 1
std::map::insert, 133
std::tr1::shared_ptr::operator=, 7
std::operator+, 2273
std::operator>, 814
std::multimap::insert, 44
std::vector::vector, 8
std::tr1::__shared_ptr::reset, 27
std::setfill, 10
std::basic_string::append, 6
std::set_intersection, 6
std::operator-, 108
std::random_shuffle, 2
std::min, 24
std::getline, 55
std::max, 5
std::count, 1
std::operator<=, 384
std::vector::insert, 24
std::back_inserter, 2
std::pair::operator=, 7

