total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
6, 51, 41, 142

STL type, instantiations
std::numeric_limits, 1
std::vector, 23
std::map, 2
std::pair, 3
std::auto_ptr, 21
std::bitset, 1

STL function, function calls
std::mem_fun, 1
std::basic_string::basic_string, 1
std::find, 1
std::operator+, 44
std::auto_ptr::operator auto_ptr_ref<type-parameter-1-0>, 7
std::setfill, 4
std::basic_string::insert, 1
std::swap, 20
std::operator<<, 33
std::operator<, 1
std::copy, 2
std::transform, 1
std::min, 6
std::operator==, 13
std::make_pair, 1
std::for_each, 2
std::max, 1
std::operator!=, 1
std::equal_range, 2

