total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
13, 249, 36, 409

STL type, instantiations
std::basic_ios, 8
std::vector, 102
std::function, 6
std::basic_ostream, 36
std::is_pointer, 1
std::uniform_real_distribution, 1
std::unordered_map, 3
std::queue, 2
std::map, 46
std::unique_ptr, 4
std::lock_guard, 5
std::enable_if, 1
std::shared_ptr, 34

STL function, function calls
std::forward, 2
std::__detail::operator!=, 1
std::__detail::operator==, 2
std::not1, 4
std::basic_string::basic_string, 1
std::find, 4
std::map::insert, 26
std::replace, 1
std::thread::thread, 1
std::operator+, 6
std::pair::pair, 1
std::function::function, 1
std::bind, 2
std::make_shared, 31
std::function::operator=, 1
std::operator<<, 230
std::uniform_real_distribution::operator(), 3
std::copy, 1
std::min, 4
std::transform, 2
std::operator==, 18
std::make_pair, 30
std::getline, 3
std::ptr_fun, 4
std::max, 4
std::move, 14
std::shared_ptr::shared_ptr, 3
std::find_if, 6
std::operator!=, 3

