total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
10, 431, 158, 759

STL type, instantiations
std::numeric_limits, 4
std::vector, 241
std::multimap, 2
std::list, 86
std::iterator_traits, 1
std::map, 64
std::priority_queue, 2
std::queue, 3
std::unordered_set, 1
std::set, 27

STL function, function calls
std::list::sort, 3
std::not1, 2
std::remove, 2
std::pair::pair, 9
std::operator>>, 8
std::operator<, 22
std::operator<<, 38
std::copy, 1
std::transform, 2
std::operator==, 151
std::ptr_fun, 2
std::make_pair, 17
std::move, 1
std::fill_n, 2
std::fill, 2
std::reverse, 2
std::find_if, 2
std::operator!=, 219
std::__detail::operator!=, 1
std::sort, 4
std::find, 1
std::log, 2
std::unique, 1
std::map::insert, 21
std::distance, 1
std::operator>, 17
std::operator+, 174
std::multimap::insert, 2
std::operator-, 6
std::min, 25
std::getline, 4
std::for_each, 1
std::max, 10
std::vector::insert, 4

