total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
9, 56, 54, 574

STL type, instantiations
std::numeric_limits, 3
std::vector, 19
std::multimap, 2
std::list, 18
std::bitset, 1
std::istreambuf_iterator, 1
std::queue, 1
std::stack, 1
std::set, 10

STL function, function calls
std::complex::operator+=, 7
std::floor, 1
std::conj, 2
std::sort, 2
std::basic_string::basic_string, 1
std::norm, 1
std::arg, 1
std::abs, 16
std::log, 5
std::operator+, 86
std::pair::pair, 1
std::multimap::insert, 1
std::complex::operator*=, 4
std::polar, 4
std::pow, 3
std::cos, 1
std::operator/, 13
std::swap, 3
std::operator<<, 251
std::operator<, 2
std::operator-, 4
std::operator*, 29
std::sqrt, 2
std::transform, 4
std::min, 71
std::operator==, 7
std::getline, 1
std::exp, 9
std::max, 40
std::operator!=, 2

