total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
18, 1862, 203, 9160

STL type, instantiations
std::valarray, 2
std::deque, 39
std::basic_stringbuf, 1
std::queue, 2
std::stack, 8
std::basic_ios, 6
std::unary_function, 5
std::multimap, 148
std::bitset, 6
std::__debug::set, 4
std::array, 6
std::istreambuf_iterator, 6
std::map, 755
std::priority_queue, 1
std::pair, 475
std::reverse_iterator, 4
std::auto_ptr, 4
std::set, 390

STL function, function calls
std::map::map, 4
std::operator|, 4
std::foobar, 2
std::set::insert, 38
std::bind2nd, 3
std::list::insert, 1
std::pair::pair, 115
std::deque::deque, 1
std::pow, 3
std::swap, 18
std::operator<<, 5913
std::operator<, 88
std::lexicographical_compare, 3
std::copy, 8
std::sqrt, 1
std::transform, 4
std::operator==, 1038
std::make_pair, 177
std::find_if, 2
std::operator!=, 750
std::accumulate, 2
std::sort, 23
std::find, 16
std::binary_search, 2
std::map::insert, 122
std::unique, 14
std::operator+, 696
std::multimap::insert, 17
std::vector::vector, 40
std::complex::operator*=, 1
std::complex::operator/=, 1
std::setfill, 5
std::operator&, 10
std::basic_string::_S_construct, 2
std::getline, 6
std::for_each, 4
std::max, 8
std::count, 2
std::equal_range, 2
std::vector::insert, 11
std::back_inserter, 3

