total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
13, 567, 68, 12461

STL type, instantiations
std::binary_function, 1
std::numeric_limits, 25
std::deque, 7
std::vector, 389
std::multimap, 4
std::list, 7
std::bitset, 1
std::ostream_iterator, 1
std::less, 51
std::queue, 1
std::map, 55
std::auto_ptr, 1
std::set, 24

STL function, function calls
std::mem_fun, 1
std::sort, 3
std::find, 8
std::vector::assign, 2
std::unique, 2
std::map::insert, 50
std::operator+, 230
std::pair::pair, 6
std::multimap::insert, 5
std::vector::vector, 1
std::setfill, 3
std::pow, 1
std::operator>>, 4
std::basic_string::append, 3
std::swap, 111
std::operator<, 1
std::operator<<, 11212
std::random_shuffle, 2
std::copy, 2
std::transform, 2
std::min, 190
std::basic_string::assign, 6
std::operator==, 158
std::make_pair, 108
std::getline, 14
std::for_each, 9
std::max, 266
std::find_if, 2
std::operator!=, 58
std::back_inserter, 1

