total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
10, 316, 42, 268

STL type, instantiations
std::mem_fun_t, 1
std::vector, 90
std::function, 1
std::list, 25
std::enable_shared_from_this, 2
std::map, 5
std::unique_ptr, 1
std::auto_ptr, 1
std::enable_if, 1
std::shared_ptr, 189

STL function, function calls
std::__shared_ptr::reset, 12
std::mem_fun, 4
std::map::insert, 1
std::replace, 2
std::operator+, 100
std::thread::thread, 1
std::dynamic_pointer_cast, 11
std::make_shared, 4
std::swap, 20
std::operator<<, 81
std::copy, 1
std::operator==, 11
std::make_pair, 2
std::shared_ptr::shared_ptr, 11
std::vector::insert, 2
std::operator!=, 4
std::back_inserter, 1

