total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
20, 8755, 99, 5953

STL type, instantiations
std::numeric_limits, 18
std::deque, 6
std::vector, 7304
std::function, 13
std::list, 73
std::enable_shared_from_this, 4
std::less, 1
std::weak_ptr, 1
std::multiset, 1
std::shared_ptr, 484
std::tuple, 9
std::remove_reference, 1
std::multimap, 1
std::istreambuf_iterator, 1
std::map, 212
std::unique_ptr, 42
std::pair, 468
std::auto_ptr, 1
std::remove_cv, 1
std::set, 114

STL function, function calls
std::get, 11
std::equal, 4
std::set::insert, 10
std::basic_string::basic_string, 3
std::remove, 1
std::remove_if, 4
std::set::set, 7
std::pair::pair, 20
std::deque::deque, 1
std::operator>>, 1
std::pow, 8
std::swap, 2
std::operator<, 9
std::operator<<, 3944
std::copy, 2
std::transform, 5
std::operator==, 396
std::set_symmetric_difference, 2
std::make_pair, 41
std::max_element, 1
std::reverse, 12
std::operator!=, 100
std::find_if, 35
std::shared_ptr::shared_ptr, 11
std::sort, 72
std::find, 45
std::map::insert, 24
std::unique, 4
std::distance, 6
std::operator+, 1038
std::multimap::insert, 1
std::dynamic_pointer_cast, 9
std::vector::vector, 21
std::bind, 8
std::min_element, 3
std::make_shared, 1
std::set_intersection, 1
std::make_tuple, 5
std::min, 7
std::getline, 7
std::vector::emplace_back, 11
std::max, 13
std::vector::insert, 40
std::back_inserter, 7

