total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
8, 73, 37, 188

STL type, instantiations
std::vector, 37
std::tuple, 15
std::function, 9
std::bitset, 5
std::array, 3
std::queue, 1
std::set, 2
std::stack, 1

STL function, function calls
std::get, 24
std::basic_string::append, 1
std::function::operator=, 2
std::operator<, 28
std::tie, 11
std::tuple::operator=, 15
std::min, 17
std::make_tuple, 11
std::operator==, 35
std::minmax, 3
std::replace, 5
std::operator+, 23
std::max, 7
std::operator!=, 5
std::tuple::tuple, 1

