total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
11, 1369, 240, 4343

STL type, instantiations
std::numeric_limits, 28
std::deque, 2
std::vector, 1107
std::unary_function, 1
std::list, 90
std::bitset, 1
std::tr1::unordered_map, 1
std::map, 124
std::queue, 5
std::set, 5
std::stack, 5

STL function, function calls
std::fabs, 2
std::floor, 3
std::inserter, 1
std::pair::pair, 12
std::pow, 16
std::swap, 130
std::operator<<, 323
std::operator<, 600
std::sqrt, 1
std::operator==, 617
std::make_pair, 15
std::operator>=, 88
std::max_element, 4
std::operator!=, 1709
std::set_difference, 4
std::sort, 30
std::make_heap, 2
std::log, 4
std::map::insert, 17
std::unique, 3
std::pop_heap, 3
std::distance, 1
std::operator+, 175
std::operator>, 359
std::min_element, 4
std::operator-, 80
std::min, 38
std::push_heap, 3
std::max, 45
std::operator<=, 42
std::lower_bound, 7
std::vector::insert, 3
std::back_inserter, 2

