class template, instantiations, multiple overload instantiations, loc, definition file path, line
TNxArray, //29, //12, //149, //NxWidgets/libnxwidgets/include/tnxarray.hxx, //109
NXWidgets::TEventArgs, //0, //0, //15, //NxWidgets/libnxwidgets/include/teventargs.hxx, //100

function template, instantiations, multiple overload instantiations, loc, definition file path, line

