revision no., SLOC, developers, age
bbb8b6bdc0d5e4eae3169f44648e05a031dd1538, 0, 1, 1
0307737d443bb85069a46d1f7d8bb8f819ed2323, 32139, 11, 1
d68f3fdcf4fcfe021c2fa5b5a6c428ba43fee157, 41879, 13, 2
b6e1c3ab7caf1f80a1be25af82e25897454ee33f, 48296, 15, 2
15cf1386d3ad206febf432676b6bda9925319d9f, 173639, 23, 2
18e368507349440a86c32af675151e021e7a5031, 176007, 32, 2
32c6b4f789f4d8a4fe53ea1a21939ccf7256129f, 195203, 50, 3
3a50aad0a759c10369c20a68e969e52dca7e97b9, 200320, 57, 3
3940d3320a66f545248da235564a4dcf6f810846, 203849, 61, 3
2b217188b17fb95d857f10b61566a624ebfb2c9f, 210599, 67, 3
3da57cafbadf1a03baa3cb21d9dbdeed88cbca1a, 209989, 71, 4
cf97b1dfc4b50493a09e78effd41e503af2ce44d, 209984, 75, 4
9f29ef299a4ea18cb402eac42658ce0a00678aa3, 210402, 78, 4
3c825cc256826077155b1735d342ec3429a7e6b0, 211179, 87, 4
f76735c3a008f77cd41dfabed95238940ad586e9, 215747, 90, 5
