revision no., SLOC, developers, age
6461cde1ffa8c6092bd425acfd756e1deec1c2a3, 312454, 1, 1
0aca43481c18113388d6166c24ed90d0664770d6, 312208, 16, 1
8a9a94bf16dc90c8cb669e50893d9f9e0381192f, 389858, 21, 1
617abe7e29f888366bcd46bbe4bbaf173305d286, 319085, 22, 1
12a92bb9fc73ce5c158a62513a287d7d2cd055e7, 417441, 23, 2
8895af5f992e300c0f115ebf92e52b7ec067432f, 323542, 25, 2
f9dc35a248b47cadffa9955306f8a72eb1d0d3b3, 327280, 27, 2
eb33eae5b1909c82e97fbd7374c029312e94990c, 469269, 30, 2
33eda633f66f7285aaa9e40453a2795f7f4e2d8a, 478087, 35, 3
ece0e04c0e9e12f0c6968530c2caebf85480fbc6, 478984, 36, 3
