revision no., SLOC, developers, age
5797b412dfdd245944110207c5f273e6ad36081a, 255914, 2, 1
20f8a50909301c605334b147ceaa58bf98ca1758, 262451, 8, 1
f96675ba02e66625e231d6cb7ea3464384cec2ed, 268004, 23, 2
9a269907aaf0f274ddea66c576b9a429258bdf1e, 274466, 26, 2
c223f44a97dbdde4e950742679b9a5b86330d175, 282113, 28, 2
0ebffa930ac0e68ecfb52e2f1d5d98673df65c22, 285848, 30, 2
c15ae93d25854f39fe7eb6b8c86f5e12e3773f26, 294016, 33, 3
112b25f9fcf7c5bab39cde3d291c840c3fe9ec3d, 299925, 33, 3
9dcc20344bb3f8900b98fa65286bd14f468ca910, 303464, 33, 3
f92d310ac3fd3bdde361fdf333c48698f80c4826, 310363, 37, 3
2d724365cfb82048e7ebf3346fabfe904549e598, 315172, 45, 4
f40d4ac65b3127779457f3962ddb26e62551eb73, 317401, 51, 4
3cbfb0a5c70f4e80d34274d713472aa4d25da5ff, 331790, 58, 4
684036fae8f88288b4e894238c3d24e3ab3983d4, 340536, 64, 4
5b27b3194e7c03b5f58f033e9803dde6452bb044, 353686, 69, 5
7843225fad4547aa4bf7d2008171d7e3ec49c9c0, 355021, 71, 5
