revision no., SLOC, developers, age
badb51338c77aef5608f36e76165b3e1c1c38bc8, 1317, 1, 1
6ce38b1ad208bb61891084c4ea2b56fd412eacd8, 9493, 2, 1
e6254baea36b66abd6e6972f2b785fc00b33bdf8, 10844, 3, 1
ea115a2c8cdec15ec121008091681b3b2b8b763a, 11298, 3, 1
b0c8f3f626040898b52687c880530221c1fef5f7, 20897, 4, 2
b906b51d3b057995d31d332c92f64e4a5e1a2d13, 22735, 5, 2
7dae41ee986402c67c528724a20cd003a5a0173c, 31051, 8, 2
1022adf172206f0db0fea1008826796a5bd29775, 30797, 13, 2
e3d96eb62d7b0d490cea432286efb962c1d030b3, 33576, 15, 3
61ba2e647e4b3057866a59b1edcd3c6112ef3698, 35997, 22, 3
954debf2358a63dec582cba9da3259238e8a8905, 36982, 29, 3
1073f031c874420d551a830d08c5edc7752f1cfa, 48425, 40, 3
1c7e7dac6039db02f97754ca6e7dde99aa14950e, 53121, 50, 4
0548754a9b29f4f09b8af1437e13a18a24111639, 53253, 58, 4
