revision no., SLOC, developers, age
80dc349e2014eaa9450086c007118e10bda0b534, 4122, 1, 1
5a90e2d634ef0ff2444b7ea75533c118a5e7d505, 5370, 2, 1
13316a61dc46561c5ec859055bbf9f9957357d87, 6418, 4, 1
3d3f093e3bb3670428816f07f523f3673ce2fb6e, 6624, 6, 1
3a384291e501042abf694fca7e642436a5fe5762, 7587, 8, 1
6aa27e0271ab09b4cd85c26480cda8d9f82547df, 8977, 11, 2
e4e2c0428d0763bb01b95fc00b837c9ef4d335c3, 9219, 20, 2
b3b79f42d567a77bdca6556d7e94064c22498be8, 9315, 22, 2
ff4fa3581e0b38b2d4f40cd03676acc01e650ede, 9345, 26, 2
556dace4573ff63d75fbbc30dddc549a624b9775, 11418, 28, 3
64ddaf2ff50064800f1a1a6b514874df806ddf97, 12767, 28, 3
