revision no., SLOC, developers, age
61431845f821d7edb788048ce62ca69d0940364b, 0, 1, 1
996b05c771ef138144653d4cc17ce39f3fe29a58, 21461, 3, 1
8d4029b2c44664d3f355cff649c16bdec4bb11df, 22174, 4, 1
c6d9532bb932c8e2f26848cb8d31b273167837b8, 23049, 4, 1
ac58610dbbd619ec49b6e614854ded0357899b17, 27555, 8, 1
75937e7055e735a1e8b14371811de7a83e549c9c, 28130, 10, 2
665ab217e3566259038c0df6889dc554b95ecfd4, 28437, 14, 2
30076c53161182013b0f2ca020705967242d974b, 28594, 15, 2
1b84ec3cca0811b74ebb8c22c7724e58aea95668, 31208, 19, 2
69a69113b5f5842bd3e5e89c943e4917a654d276, 32356, 20, 3
d191315ec118aaa1c86388d9dd6d36d7587cb740, 32474, 21, 3
