revision no., SLOC, developers, age
2f4c159a447e0356834870d73c083b66f84a466f, 0, 1, 1
cc450e3a15a6ab95d0fb2f652a9bfe7c5cc07e3e, 5444413, 9, 1
1584ef184807553913c97bf89f2e8c8f542b818f, 5429765, 21, 1
99e82f0dd03ef4d105bd6ef7b092d20e84cec41f, 5419216, 26, 2
0051c87e329ab85cc3506b23181ab47ec900ecee, 5421255, 32, 2
caa7763766bc9ce8d1239d5c2d6b4c54e03b7a66, 5431157, 38, 2
b0ad92941bcc74fde4ca61cc3de125ee0827cb1e, 5431446, 44, 2
6ff47b464f5c3559c37456997d5b7ded62ebe9c8, 5446726, 45, 3
4b2f791a8352c5baf159e260ea3fd665340955e4, 4656299, 46, 3
c6966ef30d81f177bef18d29c303761574500b21, 4658438, 46, 3
ac96698a70d0210dcaeed182e4794934655805a7, 4677885, 47, 3
439c41be82594761a58b943c8e02fd3f1fc20d0e, 4671054, 48, 4
992ee1ee67f828662be3b881c9fd0e1808fd41bc, 4675065, 51, 4
cd3719e8a1f56e7a16ebd23aee3f3a6f6da93ab8, 4678102, 51, 4
106b7bc361ec430ce7ea73e548d986e28930df9e, 4676236, 51, 4
908225ed13eb08c341ec6cf0751aeed39dfd31a8, 4676485, 51, 5
54618646387613cec3f42ec41455c7dd59c4a94b, 4676532, 51, 5
