revision no., SLOC, developers, age
dc709b6bb226301ae659d7cd9a6c7846b11e0aaa, 0, 2, 1
ce2824b950b06011d1eb46de02784c169d63f149, 906, 3, 1
ad9351b671604dcc3da3d23c62e2a328ced7b8bc, 3485, 5, 1
b1ffa55a466e395d4e01bafc530a31abb067224b, 6485, 8, 2
14bbd82ea2b308925ab1d5b339f9b15da17baa50, 6305, 8, 2
a70b487d07a5a159bd540a9b11925742462d87e9, 8287, 9, 2
2bdad7dce6725ddab34c27db8b001763fabfdb98, 11047, 41, 2
2f75b78db321e846a1d07911680fc60634e03c86, 15085, 51, 3
88fb8bea062bec28ef66de2ee45d577a1a0c811a, 16550, 58, 3
