revision no., SLOC, developers, age
cb9853c81f56b6dcdba1e616e14ed96991c358c0, 19034, 1, 1
cce34e77dcaf6fc398da4023f4d9bbc7a49b942d, 19228, 2, 1
8467662711c6a5751c5c12fd5a26e60fd908719c, 49715, 2, 2
e3c5a94124e03fd2ac215368a4b6b63018b1c2d0, 49862, 3, 2
7b3cb562464356d21c28cba3776f888b51200f5d, 49496, 3, 2
11f0564b751bdc0f6b8dfa98eae80458d82176dd, 3085, 3, 3
3614df10693416b5a4bda9dd42c720a351a210b3, 4150, 4, 3
b721830de2655d826305208b6d8804dee57691b2, 4155, 4, 3
d941562cd61227a7b2b5d4ccc588a69281e08e63, 22139, 4, 3
7634b8939416371b61eee0cf5a2afc7e4ab77b3e, 22839, 5, 4
45cbb971102878dc6fd354853687f40b245fc674, 22499, 5, 4
25891367f9692eda048be4f53b963539a1df6b9e, 23229, 6, 4
9c007bd3cf3a1db080ee8d5e6ca745795b7490ce, 40956, 7, 4
4e766bf9ffe524d741dd6c8f426bcf9d2ba8600e, 46867, 9, 5
359eab75c5cc4c75038d5bd3d85f8d72137b6c23, 48672, 9, 5
77aaee6124fd015064bee79f5ee1204bba18a800, 47952, 10, 5
88e2bacb9143f32ba99a211301a3f1c241324c87, 49486, 11, 5
bdc0705de3bafdd249ea46bb510602a8609c2354, 50124, 11, 6
cc0a2eaa79a261ed2e85d45235ca21bcf569dce5, 72003, 11, 6
7a45368b7b23c0da8c1327dac09805cd5ef2a89a, 72413, 11, 6
e28269cb426396756c4260fab66a5c2a8c7afc2a, 74738, 11, 6
01b46308abbdc90b6efa0aa81728cc21bbe22a0f, 74813, 13, 7
afb9e784470ef0f123159e91adb9da87e2281534, 102144, 18, 7
23dbddc08b5de916eb839a14890ad0ad3006b284, 101526, 21, 7
e05011269955a6f0d150e67f09cc91d480923726, 34268, 23, 7
815079644f9f45aad07bb785e5ab473e038b102c, 34306, 23, 8
5379edf60f5796afd89e279bbe723e572be860fd, 34536, 29, 8
9f607e30cea93eb54964379dc7d93f7f8a2ee19d, 47884, 32, 8
1279621b17480f6e0b5d3ef37b696bff43591d18, 47921, 34, 8
1e81af45349f3863489fc4c764aa849234736600, 63882, 37, 9
98f78e59f1e8748c776a57fe16f769bdf1dec261, 63881, 37, 9
