class template, instantiations, multiple overload instantiations, loc, definition file path, line
ToolsList, //3, //1, //9, //svtools/inc/svtools/textdata.hxx, //160
ary::IteratorRange, //0, //0, //23, //autodoc/inc/ary/itrange.hxx, //38
basegfx::BasicRange, //3, //2, //196, //basegfx/inc/basegfx/range/basicrange.hxx, //39
basebmp::TernarySetterFunctionAccessorAdapter, //3, //1, //88, //basebmp/inc/basebmp/accessoradapters.hxx, //280
TSdrObjectPtr, //0, //0, //22, //sc/source/filter/excel/xiescher.cxx, //160
tools::WeakBase, //4, //1, //42, //tools/inc/tools/weakbase.h, //128
tools::WeakReference, //29, //1, //109, //tools/inc/tools/weakbase.h, //76
basebmp::NonStandardAccessor, //2, //1, //26, //basebmp/inc/basebmp/accessor.hxx, //74
basebmp::PackedPixelIterator, //3, //3, //126, //basebmp/inc/basebmp/packedpixeliterator.hxx, //481
basebmp::StandardAccessor, //4, //2, //25, //basebmp/inc/basebmp/accessor.hxx, //33
ary::NameTreeNode, //10, //2, //90, //autodoc/source/ary/inc/nametreenode.hxx, //41
csv::ConstProcessor, //2, //1, //11, //cosv/inc/cosv/tpl/processor.hxx, //67
framework::CheckedIterator, //2, //2, //87, //framework/inc/classes/checkediterator.hxx, //73
csv::StringData, //9, //2, //52, //cosv/inc/cosv/stringdata.hxx, //35
ary::SCI_Vector, //5, //0, //47, //autodoc/source/ary/inc/sci_impl.hxx, //39
writerfilter::ooxml::OOXMLFastHelper, //6, //1, //162, //writerfilter/source/ooxml/OOXMLFastHelper.hxx, //35
CollTestImplHelper, //0, //0, //6, //vbahelper/inc/vbahelper/vbacollectionimpl.hxx, //341
ScVbaCollectionBase, //1, //1, //80, //vbahelper/inc/vbahelper/vbacollectionimpl.hxx, //232
XNamedObjectCollectionHelper, //0, //0, //72, //vbahelper/inc/vbahelper/vbacollectionimpl.hxx, //145
dbaui::optional, //4, //3, //22, //dbaccess/inc/genericcontroller.hxx, //75
comphelper::MakeSequence, //0, //0, //15, //comphelper/inc/comphelper/InlineContainer.hxx, //40
comphelper::MakeSet, //0, //0, //14, //comphelper/inc/comphelper/InlineContainer.hxx, //88
comphelper::MakeVector, //0, //0, //13, //comphelper/inc/comphelper/InlineContainer.hxx, //65
o3tl::heap_ptr, //26, //2, //141, //o3tl/inc/o3tl/heap_ptr.hxx, //75
ary::stg::Storage, //25, //1, //160, //autodoc/source/ary/inc/store/s_storage.hxx, //40
ary::stg::const_filter_iterator, //3, //2, //32, //autodoc/source/ary/inc/store/s_iterator.hxx, //187
ary::stg::const_iterator, //5, //2, //29, //autodoc/source/ary/inc/store/s_iterator.hxx, //85
ary::stg::filter_iterator, //4, //3, //29, //autodoc/source/ary/inc/store/s_iterator.hxx, //137
ary::stg::iterator, //5, //2, //27, //autodoc/source/ary/inc/store/s_iterator.hxx, //45
salhelper::Future, //5, //2, //18, //salhelper/inc/salhelper/future.hxx, //81
salhelper::FutureQueue, //3, //1, //34, //salhelper/inc/salhelper/futurequeue.hxx, //41
salhelper::QueueBase, //7, //2, //28, //salhelper/inc/salhelper/queue.hxx, //44
rtl::StaticAggregate, //1, //1, //9, //sal/inc/rtl/instance.hxx, //549
inprocserv::ComSmart, //14, //2, //83, //embedserv/source/inprocserv/smartpointer.hxx, //27
TitleImpl, //0, //0, //107, //sc/source/ui/vba/vbatitle.hxx, //44
comphelper::service_decl::detail::OwnServiceImpl, //4, //1, //30, //comphelper/inc/comphelper/servicedecl.hxx, //151
comphelper::service_decl::detail::ServiceImpl, //2, //1, //14, //comphelper/inc/comphelper/servicedecl.hxx, //187
ScCompressedArray, //18, //1, //328, //sc/inc/compressedarray.hxx, //59
ScCompressedArrayIterator, //17, //2, //140, //sc/inc/compressedarray.hxx, //190
ScVbaPageBreak, //7, //1, //90, //sc/source/ui/vba/vbapagebreak.hxx, //43
comphelper::OInteraction, //0, //0, //8, //comphelper/inc/comphelper/interaction.hxx, //68
canvas::BitmapCanvasBase, //1, //1, //47, //canvas/inc/canvas/base/bitmapcanvasbase.hxx, //64
canvas::IntegerBitmapBase, //2, //1, //59, //canvas/inc/canvas/base/integerbitmapbase.hxx, //65
oox::OptValue, //40, //6, //24, //oox/inc/oox/helper/helper.hxx, //194
ww8::WW8Sttb, //2, //1, //63, //sw/source/filter/ww8/WW8Sttbf.hxx, //58
canvas::tools::ValueMap, //1, //1, //84, //canvas/inc/canvas/canvastools.hxx, //452
stoc_sec::lru_cache, //10, //1, //180, //stoc/source/security/lru_cache.h, //39
sfx::ListBoxConnection, //7, //6, //18, //sfx2/inc/sfx2/itemconnect.hxx, //370
sfx::ValueSetConnection, //6, //5, //18, //sfx2/inc/sfx2/itemconnect.hxx, //402
