class template, instantiations, multiple overload instantiations, loc, definition file path, line
comphelper::OSingletonRegistration, //9, //1, //16, //comphelper/inc/comphelper/componentmodule.hxx, //239
com::sun::star::uno::Array, //0, //0, //5, //cppu/inc/com/sun/star/uno/Type.h, //209
sd::toolpanel::ConstrainedIterator, //1, //1, //38, //sd/source/ui/toolpanel/ConstrainedIterator.hxx, //55
sd::toolpanel::Constraint, //2, //1, //7, //sd/source/ui/toolpanel/ConstrainedIterator.hxx, //38
slideshow::internal::PrioritizedHandlerEntry, //6, //4, //21, //slideshow/source/engine/eventmultiplexer.cxx, //84
slideshow::internal::ThreadUnsafeListenerContainer, //3, //1, //5, //slideshow/source/inc/listenercontainer.hxx, //306
pcr::HandlerComponentBase, //9, //9, //23, //extensions/source/propctrlr/propertyhandler.hxx, //399
comphelper::OListenerContainerBase, //2, //2, //42, //comphelper/inc/comphelper/listenernotification.hxx, //252
frm::EventListeners, //0, //0, //36, //forms/source/inc/listenercontainers.hxx, //47
canvas::CanvasCustomSpriteBase, //1, //0, //123, //canvas/inc/canvas/base/canvascustomspritebase.hxx, //86
canvas::DisambiguationHelper, //2, //2, //19, //canvas/inc/canvas/base/disambiguationhelper.hxx, //54
tools::WeakReference, //29, //1, //109, //tools/inc/tools/weakbase.h, //85
basebmp::StandardAccessor, //4, //2, //25, //basebmp/inc/basebmp/accessor.hxx, //42
salhelper::ODynamicLoader, //3, //1, //62, //salhelper/inc/salhelper/dynload.hxx, //113
svx::FrameBorderIterBase, //4, //1, //30, //svx/source/inc/frmselimpl.hxx, //258
XclExpValueRecord, //5, //2, //39, //sc/source/filter/inc/xerecord.hxx, //198
salhelper::ReaderGuard, //4, //2, //28, //salhelper/inc/salhelper/monitor.hxx, //182
salhelper::WriterGuard, //4, //2, //28, //salhelper/inc/salhelper/monitor.hxx, //235
dxcanvas::COMReference, //10, //2, //45, //canvas/source/directx/dx_winstuff.hxx, //132
comphelper::OSequenceIterator, //6, //2, //50, //comphelper/inc/comphelper/sequence.hxx, //137
writerfilter::TableManager, //29, //2, //652, //writerfilter/inc/resourcemodel/TableManager.hxx, //115
ExpressionGrammar::definition, //0, //0, //94, //svx/source/customshapes/EnhancedCustomShapeFunctionParser.cxx, //1040
chart::wrapper::WrappedSplineProperty, //0, //0, //104, //chart2/source/controller/chartapiwrapper/WrappedSplineProperties.cxx, //56
basebmp::NonStandardAccessor, //2, //1, //26, //basebmp/inc/basebmp/accessor.hxx, //83
basebmp::PackedPixelIterator, //3, //3, //126, //basebmp/inc/basebmp/packedpixeliterator.hxx, //490
basebmp::PaletteImageAccessor, //5, //2, //88, //basebmp/inc/basebmp/paletteimageaccessor.hxx, //53
basebmp::PixelIterator, //4, //2, //118, //basebmp/inc/basebmp/pixeliterator.hxx, //207
store::OStoreHandle, //0, //0, //13, //store/source/store.cxx, //55
comphelper::OAggregationArrayUsageHelper, //1, //1, //20, //comphelper/inc/comphelper/proparrhlp.hxx, //102
ww::compile_time_check, //0, //0, //5, //sw/source/filter/ww8/staticassert.hxx, //40
PropertyWrapper, //0, //0, //14, //xmloff/source/chart/MultiPropertySetHandler.hxx, //78
ScBitMaskCompressedArray, //13, //2, //153, //sc/inc/compressedarray.hxx, //357
csv::range, //17, //7, //84, //cosv/inc/cosv/tpl/range.hxx, //50
sfx::ItemControlConnection, //11, //6, //58, //sfx2/inc/sfx2/itemconnect.hxx, //242
sfx::SingleControlWrapper, //2, //1, //23, //sfx2/inc/sfx2/controlwrapper.hxx, //197
sfx::ValueSetWrapper, //5, //3, //28, //sfx2/inc/sfx2/controlwrapper.hxx, //395
ary::SCI_Vector, //5, //0, //47, //autodoc/source/ary/inc/sci_impl.hxx, //48
cppu::AggImplInheritanceHelper7, //1, //0, //52, //cppuhelper/inc/cppuhelper/implbase7.hxx, //244
cppu::ImplHelper7, //1, //1, //13, //cppuhelper/inc/cppuhelper/implbase7.hxx, //81
cppu::ImplInheritanceHelper7, //1, //0, //50, //cppuhelper/inc/cppuhelper/implbase7.hxx, //175
cppu::WeakAggImplHelper7, //1, //1, //20, //cppuhelper/inc/cppuhelper/implbase7.hxx, //137
cppu::WeakImplHelper7, //1, //1, //18, //cppuhelper/inc/cppuhelper/implbase7.hxx, //104
slideshow::internal::GenericAnimation, //0, //0, //108, //slideshow/source/engine/animationfactory.cxx, //394
slideshow::internal::TupleAnimation, //0, //0, //109, //slideshow/source/engine/animationfactory.cxx, //68
InheritedHelperInterfaceImpl, //7, //6, //37, //vbahelper/inc/vbahelper/vbahelperinterface.hxx, //67
TitleImpl, //0, //0, //108, //sc/source/ui/vba/vbatitle.hxx, //44
cppu::AggImplInheritanceHelper10, //1, //0, //52, //cppuhelper/inc/cppuhelper/implbase10.hxx, //246
cppu::ImplHelper10, //1, //0, //13, //cppuhelper/inc/cppuhelper/implbase10.hxx, //83
cppu::ImplInheritanceHelper10, //1, //0, //50, //cppuhelper/inc/cppuhelper/implbase10.hxx, //177
cppu::WeakAggImplHelper10, //1, //0, //20, //cppuhelper/inc/cppuhelper/implbase10.hxx, //139
cppu::WeakImplHelper10, //1, //0, //18, //cppuhelper/inc/cppuhelper/implbase10.hxx, //106
basebmp::CompositeIterator1D, //2, //1, //31, //basebmp/inc/basebmp/compositeiterator.hxx, //243
basebmp::CompositeIterator2D, //2, //2, //70, //basebmp/inc/basebmp/compositeiterator.hxx, //286
basebmp::detail::ArithmeticProxy, //2, //2, //31, //basebmp/inc/basebmp/compositeiterator.hxx, //45
basebmp::detail::CompositeIteratorBase, //1, //0, //113, //basebmp/inc/basebmp/compositeiterator.hxx, //92
ScVbaFormat, //9, //0, //163, //sc/source/ui/vba/vbaformat.hxx, //45
osl::LongPathBuffer, //4, //3, //29, //sal/osl/w32/path_helper.hxx, //79
cppu::PartialWeakComponentImplHelper1, //1, //1, //21, //cppuhelper/inc/cppuhelper/compbase1.hxx, //104
cppu::WeakAggComponentImplHelper1, //1, //1, //23, //cppuhelper/inc/cppuhelper/compbase1.hxx, //145
cppu::WeakComponentImplHelper1, //2, //2, //27, //cppuhelper/inc/cppuhelper/compbase1.hxx, //61
dbaui::optional, //4, //3, //22, //dbaccess/inc/genericcontroller.hxx, //87
LinkedListIterator, //23, //7, //64, //hwpfilter/source/list.hxx, //79
comphelper::module::OAutoRegistration, //6, //6, //9, //comphelper/source/inc/comphelper_module.hxx, //64
ScFlatSegmentsImpl, //16, //1, //175, //sc/source/core/data/segmenttree.cxx, //43
