variadic function templates, variadic class templates, alias class templates
0, //4, //0

old substitutes of variadic function templates, old substitutes of variadic class templates, old substitutes of alias class templates
40, //2, //301

variadic function templates

variadic class templates
GenerateTable, //src/system/kernel/arch/x86/64/descriptors.cpp, //20
GenerateTable, //src/system/kernel/arch/x86/64/descriptors.cpp, //24
GenerateTable, //src/system/libroot/posix/string/arch/x86_64/arch_string.cpp, //19
GenerateTable, //src/system/libroot/posix/string/arch/x86_64/arch_string.cpp, //23

alias class templates

potential variadic function templates
WhileEachListItem, //headers/os/support/ObjectList.h, //275
WhileEachListItem, //headers/os/support/ObjectList.h, //258
WhileEachListItem, //headers/os/support/ObjectList.h, //292
WhileEachListItem, //headers/os/support/ObjectList.h, //309
WhileEachListItem, //headers/os/support/ObjectList.h, //327
operator+, //headers/cpp/stl_iterator.h, //666
operator+, //headers/cpp/std/std_valarray.h, //671
operator+, //headers/cpp/std/std_valarray.h, //671
operator+, //headers/cpp/std/std_valarray.h, //671
operator+, //headers/cpp/std/bastring.h, //495
operator+, //headers/cpp/std/bastring.h, //505
operator+, //headers/cpp/std/bastring.h, //514
operator+, //headers/cpp/std/bastring.h, //523
operator+, //headers/cpp/std/bastring.h, //532
operator+, //headers/cpp/stl_rope.h, //2339
operator+, //headers/cpp/stl_rope.h, //2346
operator+, //headers/cpp/stl_rope.h, //2380
operator+, //headers/cpp/stl_rope.h, //2388
operator+, //headers/cpp/stl_rope.h, //2396
operator+, //headers/cpp/stl_rope.h, //2421
operator+, //headers/cpp/stl_rope.h, //2441
operator+, //headers/cpp/std/complext.h, //154
operator+, //headers/cpp/std/complext.h, //163
operator+, //headers/cpp/std/complext.h, //172
operator+, //headers/cpp/std/complext.h, //245
_Array_augmented_and, //headers/cpp/std/valarray_array.h, //329
_Array_augmented_and, //headers/cpp/std/valarray_array.h, //329
_Array_augmented_and, //headers/cpp/std/valarray_array.h, //329
_Array_augmented_and, //headers/cpp/std/valarray_array.h, //329
_Array_augmented_and, //headers/cpp/std/valarray_array.h, //329
_Array_augmented_and, //headers/cpp/std/valarray_array.h, //329
_Array_augmented_and, //headers/cpp/std/valarray_array.h, //329
_Array_augmented_and, //headers/cpp/std/valarray_array.h, //329
_Array_augmented_and, //headers/cpp/std/valarray_array.h, //329
_Array_augmented_and, //headers/cpp/std/valarray_array.h, //329
_Array_augmented_and, //headers/cpp/std/valarray_array.h, //329
_Array_augmented_and, //headers/cpp/std/valarray_array.h, //329
operator||, //headers/cpp/std/std_valarray.h, //710
operator||, //headers/cpp/std/std_valarray.h, //710
operator||, //headers/cpp/std/std_valarray.h, //710
operator||, //headers/cpp/std/valarray_meta.h, //901
operator||, //headers/cpp/std/valarray_meta.h, //901
operator||, //headers/cpp/std/valarray_meta.h, //901
operator||, //headers/cpp/std/valarray_meta.h, //901
operator||, //headers/cpp/std/valarray_meta.h, //901
_Array_augmented_shift_right, //headers/cpp/std/valarray_array.h, //331
_Array_augmented_shift_right, //headers/cpp/std/valarray_array.h, //331
_Array_augmented_shift_right, //headers/cpp/std/valarray_array.h, //331
_Array_augmented_shift_right, //headers/cpp/std/valarray_array.h, //331
_Array_augmented_shift_right, //headers/cpp/std/valarray_array.h, //331
_Array_augmented_shift_right, //headers/cpp/std/valarray_array.h, //331
_Array_augmented_shift_right, //headers/cpp/std/valarray_array.h, //331
_Array_augmented_shift_right, //headers/cpp/std/valarray_array.h, //331
_Array_augmented_shift_right, //headers/cpp/std/valarray_array.h, //331
