variadic function templates, variadic class templates, alias class templates
0, //0, //0

old substitutes of variadic function templates, old substitutes of variadic class templates, old substitutes of alias class templates
22, //3, //83

variadic function templates

variadic class templates

alias class templates

potential variadic function templates
operator+, //tutorial/TAU_INCLUDE_DIR/Profile/bstring.h, //2402
operator+, //tutorial/TAU_INCLUDE_DIR/Profile/bstring.h, //2415
operator+, //tutorial/TAU_INCLUDE_DIR/Profile/bstring.h, //2427
operator+, //tutorial/TAU_INCLUDE_DIR/Profile/bstring.h, //2440
operator+, //tutorial/TAU_INCLUDE_DIR/Profile/bstring.h, //2389
operator+, //tests/CompileTests/Cxx_tests/test2007_56.C, //1170
operator+, //tests/CompileTests/C++Code/test2005_06.C, //44
operator+, //tests/CompileTests/ExpressionTemplateExample_tests/test2006_29.C, //87
operator+, //tests/CompileTests/C++Code/test2006_29.C, //85
operator+, //tests/CompileTests/Cxx_tests/test2005_06.C, //45
operator+, //tests/CompileTests/ExpressionTemplateExample_tests/test2006_31.C, //13
operator+, //tests/CompileTests/C++Code/test2006_31.C, //13
operator+, //tests/CompileTests/ElsaTestCases/t0474.cc, //45
operator+, //tests/CompileTests/ExpressionTemplateExample_tests/test2006_29.C, //92
operator+, //tests/CompileTests/ExpressionTemplateExample_tests/test2006_30.C, //48
operator+, //tests/CompileTests/C++Code/test2006_30.C, //48
operator+, //tests/CompileTests/C++Code/test2006_29.C, //90
operator+, //tests/CompileTests/ElsaTestCases/t0193.cc, //32
A::foo, //tests/CompileTests/ElsaTestCases/t0260.cc, //21
A::foo, //tests/CompileTests/ElsaTestCases/t0236.cc, //7
A::foo, //tests/CompileTests/Cxx_tests/test2011_123.C, //14
A::foo, //tests/CompileTests/C++Code/test2005_13.C, //20
A::foo, //tests/CompileTests/C++Code/test2005_11.C, //68
A::foo, //tests/CompileTests/C++Code/test2004_36.C, //6
foo4, //projects/compass/extensions/checkers/functionDefinitionPrototype/functionDefinitionPrototypeTest2.C, //22
foo4, //tests/CompileTests/Cxx_tests/test2005_02.C, //15
foo4, //tests/CompileTests/C++Code/test2005_02.C, //14
foo4, //tests/CompileTests/Cxx_tests/test2005_02.C, //24
foo4, //tests/CompileTests/C++Code/test2005_02.C, //23
operator<<, //tutorial/TAU_INCLUDE_DIR/Profile/bstring.h, //2451
