variadic function templates, variadic class templates, alias class templates
0, //1, //0

old substitutes of variadic function templates, old substitutes of variadic class templates, old substitutes of alias class templates
0, //1, //4

variadic function templates

variadic class templates
WinapiFunc, //src/DSUtil/WinapiFunc.h, //27

alias class templates

potential variadic function templates

potential variadic class templates
CAtlStringMap, //src/mpc-hc/stdafx.h, //95

potential alias class templates
divider, //include/libdivide.h, //1203
divider, //include/libdivide.h, //1222
divider, //include/libdivide.h, //1240
divider, //include/libdivide.h, //1260
