class template, instantiations, multiple overload instantiations, loc, definition file path, line
TLinkedList, //43, //6, //207, //source/src/bot/bot_util.h, //42
TPriorList, //1, //1, //137, //source/src/bot/bot_util.h, //304
TMultiChoice, //6, //2, //70, //source/src/bot/bot_util.h, //477
vector, //39, //10, //56, //source/src/tools.h, //146
hashtable, //4, //1, //44, //source/src/tools.h, //217

function template, instantiations, multiple overload instantiations, loc, definition file path, line

