class template, instantiations, multiple overload instantiations, loc, definition file path, line
EvalOptionalExprAs, //12, //1, //9, //engine/src/exec.cpp, //958
EvalOptionalExprAsNullable, //4, //1, //9, //engine/src/exec.cpp, //1003
EvalOptionalExprAsPtr, //3, //1, //10, //engine/src/exec.cpp, //983
fastmin, //6, //1, //4, //libgraphics/src/legacyblendmodes.cpp, //389
compute_index, //68, //2, //94, //engine/src/gradient.cpp, //1129
__numeric_copy, //0, //0, //5, //libfoundation/src/foundation-foreign.cpp, //233
__numeric_equal, //0, //0, //5, //libfoundation/src/foundation-foreign.cpp, //239
__numeric_finalize, //0, //0, //3, //libfoundation/src/foundation-foreign.cpp, //229
i2d, //5, //5, //33, //engine/src/deploy_sign.cpp, //371
advanced_imaging_combiner, //48, //1, //206, //libgraphics/src/legacyblendmodes.cpp, //728
MCGradientFillCombine, //0, //0, //79, //engine/src/gradient.cpp, //1317
MCListPopFront, //9, //6, //8, //engine/src/foundation-legacy.h, //261
fastmax, //3, //1, //4, //libgraphics/src/legacyblendmodes.cpp, //394

