class template, instantiations, multiple overload instantiations, loc, definition file path, line
VirtualGraphCreateTemplate, //42, //8, //218, //src/util/graphs/VirtualGraphCreate.h, //10
IteratorImplTemplate, //2, //2, //14, //src/util/support/IteratorTmpl.h, //26
TreeNodeImpl, //1, //1, //64, //src/util/support/TreeImpl.h, //10
TreeTraverse, //0, //0, //82, //src/util/support/TreeImpl.h, //81
CountRefHandle, //14, //8, //49, //src/util/support/CountRefHandle.h, //8
DoublyLinkedListWrap, //39, //9, //228, //src/util/support/DoublyLinkedList.h, //34
LatticeElemList, //9, //4, //64, //src/util/support/LatticeElemList.h, //18
LatticeElemMerge, //1, //1, //7, //src/util/support/LatticeElemList.h, //9
A, //1, //1, //5, //tests/CompileTests/Cxx_tests/test2004_145.C, //3
A::Y, //3, //2, //5, //tests/CompileTests/Cxx_tests/test2007_164.C, //10
X, //1, //1, //5, //tests/CompileTests/Cxx_tests/test2004_145.C, //10
DatabaseGraph, //0, //0, //15, //exampleTranslators/documentedExamples/dataBaseExamples/interfaces_example.h, //200
GraphNode, //0, //0, //8, //exampleTranslators/documentedExamples/dataBaseExamples/interfaces_example.h, //179
TableAccess, //0, //0, //25, //exampleTranslators/documentedExamples/dataBaseExamples/interfaces_example.h, //40
Array_Descriptor_Type, //36, //3, //662, //tests/CompileTests/A++Code/descriptor_templates.h, //70
DoublyLinkedEntryWrap, //61, //7, //19, //src/util/support/DoublyLinkedList.h, //13
Matrix, //12, //3, //76, //src/util/support/Matrix.h, //40
RowVector, //2, //2, //14, //src/util/support/Matrix.h, //23
SubMatrix, //0, //0, //12, //src/util/support/Matrix.h, //9
templateClass, //5, //4, //7, //tutorial/inputCode_TemplateParameterExtration.C, //4
qrs::QTypeInfo, //0, //0, //11, //src/3rdPartyLibraries/qrose/Components/SourceBox/q3richtext_px.h, //79
Geometry::MeshBase, //0, //0, //3, //tests/CompileTests/Cxx_tests/test2011_60.C, //7
Geometry::PolyMesh, //2, //2, //5, //tests/CompileTests/Cxx_tests/test2011_60.C, //14
X2, //2, //1, //5, //tests/CompileTests/Cxx_tests/test2011_60.C, //23
ReadContainerWrap, //5, //3, //9, //src/util/support/StreamIO.h, //102
DataFlowAnalysis, //3, //2, //47, //src/midend/programAnalysis/bitvectorDataflow/DataFlowAnalysis.h, //20
SgSharedVector, //7, //0, //148, //tests/CompileTests/RoseExample_tests/Cxx_Grammar.h, //5262
ctype_byname, //1, //0, //5, //tests/CompileTests/Cxx_tests/test2005_61.C, //3
CFGImplTemplate, //2, //1, //29, //src/midend/programAnalysis/CFG/CFGImpl.h, //10
DataFlowNode, //1, //1, //11, //src/midend/programAnalysis/bitvectorDataflow/DataFlowAnalysis.h, //7
M::A, //1, //1, //8, //tests/CompileTests/ElsaTestCases/t0275.cc, //9
N::B, //1, //1, //8, //tests/CompileTests/ElsaTestCases/t0275.cc, //27
C, //1, //0, //1, //tests/CompileTests/ElsaTestCases/t0200.cc, //5
A, //2, //0, //4, //tests/CompileTests/ElsaTestCases/t0252.cc, //34
SgBottomUpProcessing, //0, //0, //1, //src/midend/astProcessing/AstProcessing.h, //366
scoped_array_with_size, //45, //9, //17, //projects/BinaryCloneDetection/lsh.h, //24
SelectObject, //2, //1, //6, //src/util/support/FunctionObject.h, //4
HashTableGroup, //2, //1, //101, //projects/BinaryCloneDetection/lsh.h, //124
LSHTable, //0, //0, //58, //projects/BinaryCloneDetection/lsh.h, //255
Foo, //0, //0, //1, //tests/CompileTests/ElsaTestCases/notCompilable/t0109.cc, //7
Y, //0, //0, //1, //tests/CompileTests/Cxx_tests/test2009_25.C, //4
A, //1, //1, //14, //tests/CompileTests/C++Code/test2005_174.C, //2
A, //1, //1, //2, //tests/CompileTests/ElsaTestCases/t0281.cc, //5
B, //1, //0, //3, //tests/CompileTests/ElsaTestCases/t0281.cc, //9
Foo, //3, //3, //17, //tests/CompileTests/ElsaTestCases/t0108.cc, //6
DatabaseGraph, //18, //1, //384, //src/midend/programAnalysis/sideEffectAnalysis/SqliteDatabaseGraph.h, //377
templateClass, //1, //1, //7, //tutorial/inputCode_QueryLibrary.C, //4
BuildCFGConfig, //16, //1, //8, //src/midend/programAnalysis/CFG/CFG.h, //16
ReadAnnotCollection, //6, //2, //32, //src/midend/astUtil/annotation/TypeAnnotation.h, //35
ModifyVariableMap, //1, //1, //44, //src/midend/astUtil/astSupport/StmtInfoCollect.h, //156
SymbolicConstBoundAnalysis, //2, //1, //49, //src/midend/astUtil/symbolicVal/SymbolicBound.h, //113
CollectDoublyLinkedList, //6, //1, //11, //src/util/support/DoublyLinkedList.h, //281
CollectObject, //80, //8, //6, //src/util/support/FunctionObject.h, //37
AnnotCollectionBase, //7, //3, //8, //src/midend/astUtil/annotation/TypeAnnotation.h, //14
SymbolicBoundAnalysis, //2, //1, //39, //src/midend/astUtil/symbolicVal/SymbolicBound.h, //72
MapObject, //70, //5, //5, //src/util/support/FunctionObject.h, //52
Geometry::MeshBase, //3, //2, //8, //tests/CompileTests/Cxx_tests/test2006_08.C, //96
Bar, //1, //1, //14, //tests/CompileTests/ElsaTestCases/t0114.cc, //12
ReadContainer, //11, //1, //26, //src/midend/astUtil/annotation/AnnotDescriptors.h, //17
SetDescriptor, //5, //2, //28, //src/midend/astUtil/annotation/AnnotDescriptors.h, //77
WriteContainer, //4, //2, //21, //src/midend/astUtil/annotation/AnnotDescriptors.h, //25
OperatorAnnotCollection, //10, //6, //46, //src/midend/astUtil/annotation/OperatorAnnotation.h, //12
