class template, instantiations, multiple overload instantiations, loc, definition file path, line
GetFormatHelper, //0, //0, //6, //src/filters/parser/MpegSplitter/MpegSplitter.cpp, //121
CFGManagerBDA::SearchIBDATopology, //0, //0, //8, //src/apps/mplayerc/FGManagerBDA.h, //167
bswap, //0, //0, //7, //src/filters/parser/RealMediaSplitter/RealMediaSplitter.cpp, //38
vd_ptroffset, //0, //0, //3, //include/vd2/plugin/vdvideoutil.h, //5
MatroskaReader::CMatroskaFile::Read, //1, //1, //8, //src/filters/parser/MatroskaSplitter/MatroskaFile.cpp, //108
MatroskaReader::CMatroskaNode::Read, //0, //0, //4, //src/filters/parser/MatroskaSplitter/MatroskaFile.cpp, //1467
SeparableFilterX, //1, //1, //31, //src/Subtitles/SeparableFilter.h, //35
SeparableFilterY, //1, //1, //32, //src/Subtitles/SeparableFilter.h, //73
odd2even, //0, //0, //6, //src/filters/transform/MPCVideoDec/MPCVideoDecFilter.cpp, //1426
AdjustQuad, //3, //2, //16, //src/filters/renderer/VideoRenderers/DX9RenderingEngine.cpp, //47
TextureBlt, //0, //0, //60, //src/filters/renderer/VideoRenderers/DX9RenderingEngine.cpp, //68
CAviFile::Read, //0, //0, //5, //src/filters/parser/AviSplitter/AviFile.h, //17
array_allocator::array_allocator, //0, //0, //1, //src/filters/transform/MPCVideoDec/ffmpeg/array_allocator.h, //27
GetPeer, //0, //0, //17, //src/filters/switcher/AudioSwitcher/StreamSwitcher.cpp, //57
Explode, //0, //0, //14, //src/DSUtil/text.h, //10
ExplodeMin, //0, //0, //15, //src/DSUtil/text.h, //29

