object defined with implicit instantiated type, file, line
tasks, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/innobase/srv/srv0srv.cc, //696
triggerList, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/ndb/src/kernel/blocks/dbtup/DbtupIndex.cpp, //468
protocol, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/include/mysql/plugin_auth_common.h, //89
c_dataBufferPool, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/ndb/src/kernel/blocks/suma/Suma.hpp, //366
type, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/libmysql/authentication_win/common.h, //41
[unnamed], ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/ndb/src/ndbapi/NdbEventOperationImpl.hpp, //159
m_active_gci, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/ndb/src/ndbapi/NdbEventOperationImpl.hpp, //489
m_allocated_data, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/ndb/src/ndbapi/NdbEventOperationImpl.hpp, //622
tmp, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/ndb/src/kernel/vm/Pool.hpp, //380
ptr, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/ndb/src/kernel/vm/Pool.hpp, //369
tmp, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/ndb/src/kernel/vm/Pool.hpp, //339
tmp, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/ndb/src/kernel/vm/Pool.hpp, //354
inited, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/sql/handler.h, //1881
m_temporaryProcesses, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/ndb/src/cw/cpcd/APIService.hpp, //36
state, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/myisam/ft_boolean_search.c, //146
thePool, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/ndb/src/kernel/vm/Array.hpp, //74
view_list, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/innobase/include/read0read.h, //177
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/sql/sql_analyse.cc, //88
result_fields, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/sql/sql_analyse.h, //331
m_op, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/ndb/src/ndbapi/NdbDictionaryImpl.hpp, //584
m_attrIds, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/ndb/src/ndbapi/NdbDictionaryImpl.hpp, //448
m_columns, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/ndb/src/ndbapi/NdbDictionaryImpl.hpp, //447
m_columns, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/ndb/src/ndbapi/NdbDictionaryImpl.hpp, //322
m_key_ids, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/ndb/src/ndbapi/NdbDictionaryImpl.hpp, //323
m_columns, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/ndb/src/ndbapi/NdbDictionaryImpl.hpp, //211
v, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/ndb/src/ndbapi/NdbDictionaryImpl.cpp, //1204
end_conds, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/innobase/include/row0sel.h, //253
