object defined with implicit instantiated type, file, line

object defined with explicit instantiated type, file, line
i, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/tools/encoder/src/Object.h, //114
i, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/tools/encoder/src/Object.h, //130
scopePath, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/gameplay/src/lua/lua_Ref.cpp, //22
controls, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/gameplay/src/Gamepad.cpp, //115
itr, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/gameplay/src/Gamepad.cpp, //116
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/gameplay/src/Gamepad.cpp, //77
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/gameplay/src/Gamepad.cpp, //96
__gamepads, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/gameplay/src/Gamepad.cpp, //12
_wheels, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/gameplay/src/PhysicsVehicle.h, //387
stream, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/gameplay/src/Image.cpp, //22
scopePath, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/gameplay/src/lua/lua_TransformListener.cpp, //26
param1, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/gameplay/src/lua/lua_TransformListener.cpp, //93
arguments, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/tools/encoder/src/EncoderArguments.cpp, //40
nodeIds, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/tools/encoder/src/EncoderArguments.h, //31
_fontSizes, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/tools/encoder/src/EncoderArguments.h, //206
_groupAnimationAnimationId, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/tools/encoder/src/EncoderArguments.h, //215
_groupAnimationNodeId, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/tools/encoder/src/EncoderArguments.h, //214
_heightmaps, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/tools/encoder/src/EncoderArguments.h, //216
_tangentBinormalId, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/tools/encoder/src/EncoderArguments.h, //217
parts, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/tools/encoder/src/EncoderArguments.cpp, //460
parts, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/tools/encoder/src/EncoderArguments.cpp, //532
parts, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/tools/encoder/src/EncoderArguments.cpp, //565
scopePath, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/gameplay/src/lua/lua_Drawable.cpp, //21
_channels, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/gameplay/src/Animation.h, //233
_clips, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/gameplay/src/Animation.h, //235
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/gameplay/src/Animation.cpp, //469
itr, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/gameplay/src/Animation.cpp, //413
itr, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/gameplay/src/Animation.cpp, //230
clipIter, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/gameplay/src/Animation.cpp, //58
scopePath, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/gameplay/src/lua/lua_Global.cpp, //192
scopePath, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/gameplay/src/lua/lua_Global.cpp, //205
scopePath, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/gameplay/src/lua/lua_Global.cpp, //215
scopePath, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/gameplay/src/lua/lua_Global.cpp, //225
scopePath, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/gameplay/src/lua/lua_Global.cpp, //233
scopePath, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/gameplay/src/lua/lua_Global.cpp, //245
scopePath, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/gameplay/src/lua/lua_Global.cpp, //255
scopePath, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/gameplay/src/lua/lua_Global.cpp, //276
scopePath, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/gameplay/src/lua/lua_Global.cpp, //286
scopePath, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/gameplay/src/lua/lua_Global.cpp, //302
scopePath, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/gameplay/src/lua/lua_Global.cpp, //313
scopePath, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GamePlay/latest version/gameplay/src/lua/lua_Global.cpp, //366
