object defined with implicit instantiated type, file, line

object defined with explicit instantiated type, file, line
buffer, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/utf8.cc, //148
buffer, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/utf8.cc, //136
data, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/dictionary.hh, //204
matches, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/dictionary.hh, //166
alts, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/bgl.cc, //678
dict, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/bgl.cc, //679
altChain, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/bgl.cc, //767
alternateArticles, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/bgl.cc, //772
articlesIncluded, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/bgl.cc, //774
chain, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/bgl.cc, //759
i, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/bgl.cc, //857
mainArticles, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/bgl.cc, //772
mapToUse, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/bgl.cc, //831
r, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/bgl.cc, //655
nameBuf, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/bgl.cc, //303
idxHeader, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/bgl.cc, //217
chunk, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/bgl.cc, //385
chunk, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/bgl.cc, //342
dict, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/bgl.cc, //532
chain, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/bgl.cc, //574
r, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/bgl.cc, //509
compressedData, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/bgl.cc, //1045
nameData, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/bgl.cc, //1027
r, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/bgl.cc, //938
compressedData, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/bgl.cc, //1131
resources, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/bgl.cc, //1111
header, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/bgl.cc, //93
r, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/hunspell.cc, //175
results, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/hunspell.cc, //159
results, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/hunspell.cc, //431
r, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/hunspell.cc, //350
r, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/hunspell.cc, //530
result, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/hunspell.cc, //762
result, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/hunspell.cc, //742
dataFiles, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/hunspell.cc, //780
dictFiles, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/hunspell.cc, //791
nodes, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/generators/generate.cc, //19
i, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/generators/generate.cc, //47
cur, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/generators/generate.cc, //267
foldTable, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/generators/generate.cc, //86
forest, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/generators/generate.cc, //233
i, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/generators/generate.cc, //189
i, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/generators/generate.cc, //210
simpleFoldTable, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/generators/generate.cc, //87
recordBlockInfos_, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/mdictparser.hh, //193
v, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/language.cc, //41
links, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/mdx.cc, //143
chunk, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/GoldenDict/latest version/mdx.cc, //159
