object defined with implicit instantiated type, file, line
p, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/common/FileSystem.cpp, //1359
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/common/FileSystem.cpp, //1325
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/common/FileSystem.cpp, //1050
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/common/FileSystem.cpp, //1316
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/common/FileSystem.cpp, //1199
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/common/FileSystem.cpp, //1477
order, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/common/FileSystem.cpp, //2146
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/client/cl_irc.cpp, //348
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/client/cl_irc.cpp, //329
insertPoint, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/CommandSystem.cpp, //61
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/CommandSystem.cpp, //141
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/CommandSystem.cpp, //240
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/CommandSystem.cpp, //210
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/CommandSystem.cpp, //327
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/CommandSystem.cpp, //156
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/CommandSystem.cpp, //170
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/qcommon/cmd.cpp, //567
paks, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/gamelogic/sgame/sg_cmds.cpp, //4072

object defined with explicit instantiated type, file, line
samples, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/gamelogic/cgame/Filter.h, //28
res, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/audio/ALObjects.cpp, //895
res, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/audio/ALObjects.cpp, //783
__begin, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/audio/ALObjects.cpp, //926
__begin, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/audio/ALObjects.cpp, //933
__end, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/audio/ALObjects.cpp, //926
__end, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/audio/ALObjects.cpp, //933
__range, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/audio/ALObjects.cpp, //926
__range, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/audio/ALObjects.cpp, //933
res, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/audio/ALObjects.cpp, //342
checkAllCalls, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/audio/ALObjects.cpp, //68
presets, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/audio/ALObjects.cpp, //207
selection_indices, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/libs/libRocket/Source/Controls/WidgetTextInput.cpp, //739
selection_vertices, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/libs/libRocket/Source/Controls/WidgetTextInput.cpp, //738
indices, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/libs/libRocket/Source/Controls/WidgetTextInput.cpp, //873
vertices, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/libs/libRocket/Source/Controls/WidgetTextInput.cpp, //870
__range, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/common/System.cpp, //257
__begin, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/System.cpp, //645
__end, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/System.cpp, //645
__range, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/System.cpp, //645
cvar, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/System.cpp, //645
__range, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/System.cpp, //344
__range, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/System.cpp, //358
__range, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/System.cpp, //375
cvars, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/System.cpp, //407
paths, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/System.cpp, //402
services, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/server/server.h, //337
isLanOnly, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/server/sv_main.cpp, //90
strings, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/client/rocket_textelements.cpp, //41
__begin, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/BaseCommands.cpp, //742
__end, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/BaseCommands.cpp, //742
__range, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/BaseCommands.cpp, //742
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/BaseCommands.cpp, //742
__begin, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/BaseCommands.cpp, //601
__end, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/BaseCommands.cpp, //601
__range, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/BaseCommands.cpp, //601
matches, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/BaseCommands.cpp, //911
matchesNames, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/BaseCommands.cpp, //912
__begin, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/BaseCommands.cpp, //733
__end, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/BaseCommands.cpp, //733
__range, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/BaseCommands.cpp, //733
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/BaseCommands.cpp, //733
aliases, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/BaseCommands.cpp, //725
delays, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/BaseCommands.cpp, //579
replies, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/common/IPC/Channel.h, //129
inputs, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/common/IPC/Channel.h, //192
inputs, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/common/IPC/Channel.h, //208
u, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/gamelogic/cgame/cg_parseutils.cpp, //135
__begin, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/client/cl_keys.cpp, //1469
__end, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/client/cl_keys.cpp, //1469
__range, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/client/cl_keys.cpp, //1469
candidate, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/client/cl_keys.cpp, //1469
labels, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/client/cl_keys.cpp, //886
modifierKeys, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/client/cl_keys.cpp, //1512
plusCommand, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/client/cl_keys.cpp, //66
indices, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/libs/libRocket/Source/Core/ElementImage.cpp, //195
vertices, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/libs/libRocket/Source/Core/ElementImage.cpp, //194
readerData, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/CommandBufferHost.cpp, //100
volatile_properties, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/libs/libRocket/Include/Rocket/Core/FontEffectInstancer.h, //92
storage, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/common/Optional.h, //265
CLIENT_WINDOW_ICON, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/sys/sdl_icon.h, //8
ancestor_structural_pseudo_classes, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/libs/libRocket/Source/Core/StyleSheetNode.cpp, //311
gfx, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/gamelogic/cgame/cg_local.h, //1034
pmoveParams, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/gamelogic/cgame/cg_local.h, //1328
weaponOffsetsFilter, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/gamelogic/cgame/cg_local.h, //1330
textures, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/libs/libRocket/Include/Rocket/Core/Decorator.h, //122
cm_forceTriangles, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/common/cm/cm_load.cpp, //60
team, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/gamelogic/sgame/sg_struct.h, //807
name, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/gamelogic/sgame/sg_bot.cpp, //41
botNames, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/gamelogic/sgame/sg_bot.cpp, //42
leadingSample, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/audio/Sound.h, //122
loopingSample, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/audio/Sound.h, //121
sample, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/audio/Sound.h, //105
emitter, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/audio/Sound.h, //91
effectsVolume, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/audio/Sound.cpp, //36
musicVolume, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/audio/Sound.cpp, //37
usingSound, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/audio/Sound.cpp, //42
shadermap, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/renderer/shaders.cpp, //10943
filterLevel, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/common/Log.h, //97
callback, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/common/Cvar.h, //163
parsers, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/libs/libRocket/Include/Rocket/Core/PropertyDefinition.h, //85
writerData, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/gamelogic/shared/CommandBufferClient.cpp, //75
bufferSize, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/gamelogic/shared/CommandBufferClient.h, //65
flags, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/libs/recast/RecastContour.cpp, //641
vmCvarTable, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/qcommon/cvar.cpp, //219
entities, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/client/cg_api.h, //58
serverCommands, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/client/cg_api.h, //61
credits, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/gamelogic/sgame/sg_struct.h, //386
layout_chunk_pool, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/libs/libRocket/Source/Core/LayoutEngine.cpp, //58
__begin, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/CvarSystem.cpp, //356
__end, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Unvanquished/latest version/src/engine/framework/CvarSystem.cpp, //356
