object defined with implicit instantiated type, file, line
terrain, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/openage/latest version/cpp/unit/action.cpp, //331
terrain, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/openage/latest version/cpp/unit/action.cpp, //348
terrain, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/openage/latest version/cpp/unit/action.cpp, //940
position_it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/openage/latest version/cpp/unit/action.cpp, //609
utex, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/openage/latest version/cpp/unit/action.cpp, //42
terrain, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/openage/latest version/cpp/unit/unit_type.cpp, //25
resource, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/openage/latest version/cpp/audio/audio_manager.cpp, //103
sound_impl, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/openage/latest version/cpp/audio/audio_manager.cpp, //111
f, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/openage/latest version/cpp/keybinds/keybind_context.cpp, //17
opus_deleter, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/openage/latest version/cpp/audio/opus_dynamic_loader.cpp, //16
terrain, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/openage/latest version/cpp/terrain/terrain_search.cpp, //15
result, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/openage/latest version/cpp/util/file.cpp, //76
position_it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/openage/latest version/cpp/terrain/terrain_object.cpp, //149
tex_it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/openage/latest version/cpp/assetmanager.cpp, //77
opus_deleter, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/openage/latest version/cpp/audio/opus_in_memory_loader.cpp, //21
loader, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/openage/latest version/cpp/audio/in_memory_resource.cpp, //17
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/openage/latest version/cpp/job/job_manager.cpp, //61
job, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/openage/latest version/cpp/job/job_manager.cpp, //96
