object defined with implicit instantiated type, file, line

object defined with explicit instantiated type, file, line
printer, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/db/leveldb_main.cc, //25
clients, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/src/backend_sync.h, //23
clients_tmp, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/src/backend_sync.h, //24
workers, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/src/backend_sync.h, //33
ptr, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/util/cache.cc, //99
old, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/util/cache.cc, //64
ptr, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/util/cache.cc, //63
ptr, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/util/cache.cc, //79
result, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/util/cache.cc, //80
h, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/util/cache.cc, //116
new_list, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/util/cache.cc, //112
next, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/util/cache.cc, //118
ptr, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/util/cache.cc, //120
list_, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/util/cache.cc, //93
e, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/util/cache.cc, //260
e, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/util/cache.cc, //230
old, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/util/cache.cc, //242
old, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/util/cache.cc, //249
e, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/util/cache.cc, //211
lru_, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/util/cache.cc, //165
table_, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/util/cache.cc, //167
next, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/util/cache.cc, //29
next_hash, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/util/cache.cc, //28
prev, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/util/cache.cc, //30
h, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/util/cache.cc, //303
restarts_, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/table/block_builder.h, //45
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/src/ssdb/binlog.cpp, //399
key_map, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/src/ssdb/binlog.cpp, //384
grandparents_, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/db/version_set.h, //379
inputs_, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/db/version_set.h, //375
files_, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/db/version_set.h, //138
req, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/src/slave.cpp, //205
resp, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/src/slave.cpp, //176
req, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/tools/leveldb-import.cpp, //83
files, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/doc/bench/db_bench_sqlite3.cc, //322
gen_, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/doc/bench/db_bench_sqlite3.cc, //174
filter_offsets_, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/table/filter_block.h, //45
start_, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/table/filter_block.h, //42
tmp_keys_, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/table/filter_block.h, //44
key_slices, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/util/bloom_test.cc, //44
keys_, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/SSDB/latest version/deps/leveldb-1.18/util/bloom_test.cc, //25
