object defined with implicit instantiated type, file, line
modList, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/minecraft/LegacyUpdate.cpp, //46
metacache, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/minecraft/LegacyUpdate.cpp, //374
worker, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/minecraft/LegacyUpdate.cpp, //221
worker, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/minecraft/LegacyUpdate.cpp, //197
worker, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/net/ByteArrayDownload.cpp, //31
getInfoFromArray, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/minecraft/Mod.cpp, //158
left, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/liteloader/LiteLoaderVersionList.cpp, //59
right, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/liteloader/LiteLoaderVersionList.cpp, //60
worker, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/screenshots/ImgurUpload.cpp, //52
worker, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/auth/YggdrasilTask.cpp, //44
checker, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/minecraft/MinecraftProcess.cpp, //199
session, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/auth/MojangAccount.cpp, //220
session, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/auth/MojangAccount.cpp, //206
update, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/application/MainWindow.cpp, //1196
updateTask, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/application/MainWindow.cpp, //1705
provider, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/application/MainWindow.cpp, //1391
fullversion, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/forge/ForgeInstaller.cpp, //311

object defined with explicit instantiated type, file, line
m, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/mmc_updater/depends/win32cpp/toolbar.h, //1079
m_StringMap, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/mmc_updater/depends/win32cpp/toolbar.h, //159
m_core_mod_list, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/minecraft/OneSixInstance.h, //99
m_loader_mod_list, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/minecraft/OneSixInstance.h, //98
