object defined with implicit instantiated type, file, line

object defined with explicit instantiated type, file, line
m_enabled, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/mandocvisitor.h, //162
li, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/htmlgen.cpp, //2030
li, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/htmlgen.cpp, //1991
memberDict, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/addon/doxmlparser/src/mainhandler.h, //42
cli, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/addon/doxmlparser/src/mainhandler.cpp, //169
mdi, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/addon/doxmlparser/src/mainhandler.cpp, //174
cel, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/addon/doxmlparser/src/mainhandler.cpp, //152
m_compoundDict, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/addon/doxmlparser/src/mainhandler.h, //73
m_compoundNameDict, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/addon/doxmlparser/src/mainhandler.h, //74
m_compounds, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/addon/doxmlparser/src/mainhandler.h, //72
m_compoundsLoaded, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/addon/doxmlparser/src/mainhandler.h, //78
m_memberDict, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/addon/doxmlparser/src/mainhandler.h, //75
m_memberNameDict, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/addon/doxmlparser/src/mainhandler.h, //76
cel, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/addon/doxmlparser/src/mainhandler.cpp, //268
chi, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/addon/doxmlparser/src/mainhandler.cpp, //286
pagesToGenerate, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/formula.cpp, //63
pli, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/formula.cpp, //118
mli, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/classdef.cpp, //3961
xrefItems, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/classdef.cpp, //3941
mli, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/classdef.cpp, //390
mli, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/classdef.cpp, //723
eli, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/classdef.cpp, //4174
visited, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/classdef.cpp, //4187
mli, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/classdef.cpp, //4010
mli, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/classdef.cpp, //770
mli, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/classdef.cpp, //4027
eli, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/classdef.cpp, //4151
cil, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/classdef.cpp, //2642
tidi, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/classdef.cpp, //2645
qdi, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/classdef.cpp, //789
mli, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/classdef.cpp, //4601
mli, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/classdef.cpp, //4690
qdi, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/classdef.cpp, //3760
li, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/classdef.cpp, //1097
mli, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/classdef.cpp, //4053
eli, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/classdef.cpp, //4200
visited, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/classdef.cpp, //4210
eli, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/classdef.cpp, //2697
eli, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/classdef.cpp, //1978
eli, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/classdef.cpp, //1684
visited, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/classdef.cpp, //4334
mli, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/classdef.cpp, //2165
eli, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/classdef.cpp, //1508
li, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Doxygen/latest version/src/classdef.cpp, //1549
