object defined with implicit instantiated type, file, line
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/gamed/include/Packets.h, //1099
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/gamed/src/Stats.cpp, //12
default_constructor, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/dep/include/sol/tuple.hpp, //94
kv, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/gamed/src/Handlers.cpp, //112
kv, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/gamed/src/Map.cpp, //7
indexmetamethod, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/dep/include/sol/userdata.hpp, //268
metamethod, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/dep/include/sol/userdata.hpp, //264

object defined with explicit instantiated type, file, line
effects, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/gamed/include/Spell.h, //86
Inverse, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/dep/include/glm/glm/detail/type_mat2x2.inl, //382
m1_copy, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/dep/include/glm/glm/detail/type_mat2x2.inl, //614
Result, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/dep/include/glm/glm/detail/type_mat2x2.inl, //360
Result, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/dep/include/glm/glm/detail/type_mat2x2.inl, //368
objectsHit, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/gamed/include/Projectile.h, //13
buffer, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/gamed/include/Buffer.h, //9
pXYZ, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/dep/include/glm/glm/gtc/noise.inl, //45
s, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/dep/include/glm/glm/gtc/noise.inl, //47
Pf, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/dep/include/glm/glm/gtc/noise.inl, //58
Pi, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/dep/include/glm/glm/gtc/noise.inl, //57
fade_xy, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/dep/include/glm/glm/gtc/noise.inl, //88
fx, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/dep/include/glm/glm/gtc/noise.inl, //62
fy, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/dep/include/glm/glm/gtc/noise.inl, //63
g00, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/dep/include/glm/glm/gtc/noise.inl, //72
g01, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/dep/include/glm/glm/gtc/noise.inl, //74
g10, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/dep/include/glm/glm/gtc/noise.inl, //73
g11, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/dep/include/glm/glm/gtc/noise.inl, //75
gx, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/dep/include/glm/glm/gtc/noise.inl, //67
gy, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/dep/include/glm/glm/gtc/noise.inl, //68
i, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/dep/include/glm/glm/gtc/noise.inl, //65
ix, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/dep/include/glm/glm/gtc/noise.inl, //60
iy, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/IntWars/latest version/dep/include/glm/glm/gtc/noise.inl, //61
