class template, instantiations, multiple overload instantiations, loc, definition file path, line
capnproto::operator-=, //2, //1, //3, //c++/src/capnproto/type-safety.h, //608
capnproto::operator<<, //1, //1, //1, //c++/src/capnproto/type-safety.h, //44
capnproto::unit, //13, //1, //1, //c++/src/capnproto/type-safety.h, //439
capnproto::benchmark::benchmarkMain, //0, //0, //10, //c++/src/capnproto/benchmark/common.h, //269
capnproto::benchmark::doBenchmark, //2, //1, //22, //c++/src/capnproto/benchmark/common.h, //209
capnproto::benchmark::doBenchmark2, //2, //1, //14, //c++/src/capnproto/benchmark/common.h, //233
capnproto::benchmark::doBenchmark3, //1, //1, //18, //c++/src/capnproto/benchmark/common.h, //249
capnproto::benchmark::passByPipe, //2, //1, //29, //c++/src/capnproto/benchmark/common.h, //169
capnproto::List::Builder::copyFrom, //0, //0, //9, //c++/src/capnproto/list.h, //183
capnproto::List::Builder::copyFrom, //0, //0, //9, //c++/src/capnproto/list.h, //389
capnproto::List::Builder::copyFrom, //0, //0, //9, //c++/src/capnproto/list.h, //451
capnproto::internal::ListBuilder::getDataElement, //1, //1, //3, //c++/src/capnproto/layout.h, //555
capnproto::internal::ListBuilder::setDataElement, //1, //1, //3, //c++/src/capnproto/layout.h, //572
capnproto::internal::ListReader::getDataElement, //1, //1, //4, //c++/src/capnproto/layout.h, //593
capnproto::benchmark::protobuf::ReusableMessages::doneWith, //0, //0, //3, //c++/src/capnproto/benchmark/protobuf-common.h, //70
capnproto::benchmark::protobuf::SingleUseMessages::doneWith, //0, //0, //2, //c++/src/capnproto/benchmark/protobuf-common.h, //54
capnproto::implicit_cast, //0, //0, //3, //c++/src/capnproto/macros.h, //87
capnproto::Data::Builder::as, //0, //0, //1, //c++/src/capnproto/blob.h, //148
capnproto::Data::Builder::copyFrom, //0, //0, //4, //c++/src/capnproto/blob.h, //174
capnproto::Data::Builder::operator type-parameter-0-0, //0, //0, //1, //c++/src/capnproto/blob.h, //142
capnproto::Data::Reader::Reader, //3, //1, //1, //c++/src/capnproto/blob.h, //59
capnproto::Data::Reader::as, //0, //0, //1, //c++/src/capnproto/blob.h, //67
capnproto::Data::Reader::operator type-parameter-0-0, //0, //0, //1, //c++/src/capnproto/blob.h, //63
capnproto::Text::Reader::Reader, //0, //0, //4, //c++/src/capnproto/blob.h, //123
capnproto::operator<<, //0, //0, //1, //c++/src/capnproto/blob.h, //210
capnproto::operator<<, //0, //0, //1, //c++/src/capnproto/blob.h, //212
capnproto::operator<<, //0, //0, //1, //c++/src/capnproto/blob.h, //214
capnproto::operator<<, //0, //0, //1, //c++/src/capnproto/blob.h, //216
capnproto::MessageBuilder::getRoot, //1, //1, //3, //c++/src/capnproto/message.h, //309
capnproto::MessageBuilder::initRoot, //1, //1, //3, //c++/src/capnproto/message.h, //304
capnproto::MessageReader::getRoot, //1, //1, //3, //c++/src/capnproto/message.h, //299
capnproto::readMessageTrusted, //0, //0, //4, //c++/src/capnproto/message.h, //314
capnproto::benchmark::capnp::NoScratch::ObjectSizeCounter::add, //0, //0, //8, //c++/src/capnproto/benchmark/capnproto-common.h, //157
capnproto::benchmark::capnp::UseScratch::ObjectSizeCounter::add, //0, //0, //10, //c++/src/capnproto/benchmark/capnproto-common.h, //217
capnproto::internal::StructBuilder::getDataField, //0, //0, //3, //c++/src/capnproto/layout.h, //450
capnproto::internal::StructBuilder::setDataField, //0, //0, //4, //c++/src/capnproto/layout.h, //467
capnproto::internal::StructReader::getDataField, //0, //0, //7, //c++/src/capnproto/layout.h, //487
capnproto::internal::StructReader::getDataFieldCheckingNumber, //0, //0, //9, //c++/src/capnproto/layout.h, //516
capnproto::benchmark::null::allocate, //2, //1, //8, //c++/src/capnproto/benchmark/null-common.h, //34
capnproto::Quantity::operator/, //0, //0, //4, //c++/src/capnproto/type-safety.h, //345
capnproto::Quantity::operator/, //7, //1, //4, //c++/src/capnproto/type-safety.h, //374

